,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)",Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Barbados,7.7,52.0,1.3,0.28,4.4,3.63,1.17,5.2,58.2,0.69,3.7,74.0,62.4,11407.0,17622.0,14.0,14.9,13.2,88.8,0.6,14.7,14.7,75.9,0.9940000000000001,0.35600000000000004,4.6,17.7,15468.0,4.2,69.0,101.0,104.0,41.0,17.6,14393.0,0.7,1.3,7.4,0.748,0.753,0.752,0.7509999999999999,17.7,7.0,6.0,545.0,4.0,63.2,75.1,68.8,73.4,75.6,71.0,0.821,0.753,48.0,9.0,9.1,8.9,33.5,10.5,99.0,13.4,156.0,14.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17.3,75.1,17.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98.5,87.9,-1.0,78.0,78.6,77.3,0.2,0.0,0.3,0.0,33.8,7.4,-2.9,98.0,18.0,7.4,3.63,13.6,100.0,1.04,47.6,20.4,0.6,3.3,1.59,1.3,9.4,20.9,12.6,0.5,33.0,1.17
 Belarus,6.8,33.0,83.0,0.71,5.4,0.9,1.0,5.5,19.2,0.6679999999999999,18.7,45.2,58.5,5971.0,9447.0,13.3,13.5,12.8,141.6,0.9,40.8,40.8,91.6,1.015,0.47400000000000003,6.2,25.4,7563.0,75.5,85.0,113.0,78.0,55.0,25.2,7602.0,0.1,83.0,10.2,0.685,0.675,0.6829999999999999,0.654,25.4,1.0,2.0,60.0,1.9,53.3,65.9,59.1,67.4,73.1,61.9,0.7290000000000001,0.675,26.0,8.9,8.8,9.0,36.5,0.5,125.0,10.0,354.0,12.8,1.1,1.1,1.1,1.1,1.1,2.45,19.9,65.9,25.4,1.1,1.1,1.1,1.1,1.1,1.1,97.9,95.0,1.1,47.9,46.35,49.2,6.8,1.3,9.9,0.5,70.0,10.2,-1.3,99.9,18.0,10.2,0.9,5.0,100.0,1.07,51.5,10.4,10.1,68.7,1.0,83.0,0.9,2.0,2.6,6.8,27.3,1.0
 Belgium,6.8,10.2,14.0,0.3,11.2,1.68,1.19,7.9,34.5,0.833,1.8,71.9,48.8,27007.0,49768.0,17.9,18.5,17.4,141.1,3.1,22.0,22.0,75.9,0.972,0.122,4.1,23.8,37189.0,381.2,110.0,105.0,145.0,58.0,22.5,38152.0,0.4,14.0,2.1,0.8590000000000001,0.884,0.873,0.898,23.8,3.0,18.0,6457.0,29.4,43.6,61.4,52.2,77.9,81.0,74.7,0.89,0.884,9.0,10.0,10.0,10.6,39.0,54.7,69.0,4.9,130.0,5.9,1.0,1.0,1.0,1.0,1.0,2.45,25.7,61.4,23.8,1.0,1.0,1.0,1.0,1.0,1.0,100.0,99.5,1.0,76.7,74.5,76.8,6.7,1.7,10.3,0.6,97.1,2.1,-2.05,96.3,12.0,2.1,1.68,1.4,100.0,1.04,42.5,24.9,10.4,28.2,1.57,14.0,6.6,15.3,11.5,37.6,26.8,1.19
 Belize,0.8,106.3,49.0,0.23,1.6,2.99,1.31,3.9,43.5,0.6629999999999999,25.6,55.8,54.4,3472.0,9448.0,11.8,11.9,11.7,126.6,3.6,64.0,64.0,75.9,0.9279999999999999,0.48100000000000004,5.0,31.7,6961.0,1.7,26.0,116.0,68.0,22.0,28.7,6481.0,0.6,49.0,16.6,0.645,0.696,0.677,0.63,31.7,4.0,4.0,196.0,6.0,40.3,81.6,61.0,68.3,71.4,65.6,0.7440000000000001,0.696,53.0,10.1,10.1,10.1,19.2,6.8,147.0,20.4,241.0,24.1,10.5,10.5,10.5,10.5,10.5,2.1,7.1,81.6,31.7,10.5,10.5,10.5,10.5,10.5,10.5,87.6,82.6,10.5,27.8,49.5,48.9,0.1,0.0,0.2,0.0,45.4,16.6,-16.4,76.8,23.0,16.6,2.99,34.6,82.7,1.03,38.3,13.5,2.5,16.5,2.18,49.0,11.0,20.3,25.9,16.2,73.6,1.31
 Benin,-2.6,122.8,86.0,0.14,0.2,3.33,0.77,4.3,7.4,0.273,48.3,39.0,71.6,1271.0,2058.0,6.7,4.9,8.3,56.0,-0.5,44.9,44.9,25.5,0.747,0.6779999999999999,2.9,23.6,1666.0,11.4,6.0,83.0,22.0,4.0,24.6,1659.0,1.4,86.0,7.3,0.336,0.45,0.39799999999999996,0.424,23.6,11.0,30.0,96.0,0.2,63.9,81.1,72.2,55.4,57.0,53.7,0.544,0.45,572.0,2.6,1.5,3.8,17.3,0.8,257.0,89.2,315.0,144.4,-0.1,-0.1,-0.1,-0.1,-0.1,9.6,6.3,81.1,23.6,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,60.1,10.0,-0.1,14.4,8.4,20.5,3.5,0.2,6.9,1.2,38.3,7.3,-2.3,96.3,53.0,7.3,3.33,70.3,5.1,1.04,53.5,6.0,7.9,21.8,0.36,86.0,0.8,1.0,90.6,74.9,87.5,0.77
 Bhutan,6.8,92.0,249.0,0.2,0.7,0.87,1.04,4.2,2.9,0.585,81.0,16.8,64.0,2511.0,4516.0,7.6,7.0,8.3,77.7,3.1,65.5,65.5,75.9,0.9329999999999999,0.47400000000000003,5.5,48.7,3539.0,2.0,1.0,75.0,30.0,22.0,50.5,3535.0,0.4,249.0,3.1,0.64,0.688,0.669,0.539,48.7,4.0,22.0,8.0,0.4,55.6,74.2,65.2,60.8,60.9,60.6,0.627,0.688,423.0,7.35,7.1,7.5,18.8,0.0,295.0,57.6,289.0,77.4,0.1,0.1,0.1,0.1,0.1,12.2,6.4,74.2,48.7,0.1,0.1,0.1,0.1,0.1,0.1,81.0,53.2,0.1,47.9,46.35,49.2,0.3,0.0,0.6,0.1,25.4,3.1,-2.05,23.7,41.0,3.1,0.87,91.4,14.0,1.04,21.9,9.3,13.7,20.0,1.4,249.0,1.7,4.7,71.7,48.8,75.0,1.04
 Bolivia (Plurinational State of),6.8,93.0,184.0,0.3,1.3,1.51,1.2,4.3,62.0,0.63,39.0,42.3,67.2,3071.0,5561.0,13.7,11.850000000000001,11.7,45.6,8.8,55.5,55.5,82.6,0.9329999999999999,0.591,5.5,18.1,4412.0,36.8,49.0,118.0,71.0,22.0,17.9,4320.0,0.3,184.0,4.9,0.64,0.688,0.608,0.569,18.1,8.0,16.0,319.0,1.4,59.2,81.6,70.4,60.7,62.8,58.7,0.626,0.688,334.0,7.4,6.3,8.2,20.5,7.0,208.0,58.5,272.0,79.8,-2.1,-2.1,-2.1,-2.1,-2.1,5.9,8.9,81.6,18.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,78.8,38.3,-2.1,45.2,38.2,52.6,4.7,0.4,8.3,1.2,61.8,4.9,-9.4,67.3,25.0,4.9,1.51,27.4,24.9,1.05,42.9,10.2,19.2,36.7,1.56,184.0,4.5,8.4,34.9,38.5,67.7,1.2
 Botswana,34.3,71.8,914.0,0.21,2.2,0.32,1.02,5.8,-65.7,0.583,20.0,58.9,49.6,7751.0,11857.0,11.8,11.9,11.8,91.9,1.0,22.1,22.1,65.1,0.961,0.532,4.1,29.6,10411.0,18.0,45.0,108.0,76.0,7.0,25.1,9775.0,26.9,914.0,4.9,0.5529999999999999,0.5760000000000001,0.565,0.6920000000000001,29.6,2.0,9.0,1104.0,2.9,49.5,69.0,59.0,49.0,51.2,46.9,0.447,0.5760000000000001,311.0,7.6,7.6,7.7,20.1,12.9,507.0,52.2,616.0,83.7,3.0,3.0,3.0,3.0,3.0,0.6,5.0,69.0,29.6,3.0,3.0,3.0,3.0,3.0,3.0,76.9,54.3,3.0,60.9,60.9,61.5,1.0,0.1,1.7,0.2,53.2,4.9,-0.3,98.5,27.0,4.9,0.32,36.6,14.6,1.03,43.7,17.0,7.7,23.9,1.17,914.0,15.9,13.6,21.8,34.2,63.3,1.02
 Brazil,2.7,84.3,51.0,0.17,1.9,0.21,1.22,8.4,70.7,0.584,21.3,58.5,55.9,7904.0,14568.0,14.3,14.5,14.2,22.6,5.0,62.4,62.4,58.2,0.987,0.507,3.9,18.9,11371.0,1993.2,45.0,101.0,78.0,22.0,18.3,11197.0,0.3,51.0,23.7,0.68,0.69,0.684,0.713,18.9,1.0,1.0,5313.0,2.9,51.1,79.6,65.0,70.1,74.0,66.3,0.77,0.69,66.0,5.6,6.0,5.6,25.1,13.2,125.0,31.3,248.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,79.6,18.9,0.0,0.0,0.0,0.0,0.0,0.0,93.7,73.3,0.0,32.7,33.7,34.5,113.6,8.9,175.3,17.6,81.2,23.7,-5.7,98.6,25.0,23.7,0.21,42.8,74.9,1.05,40.9,5.9,2.2,9.5,1.6,51.0,13.9,18.1,28.3,17.0,46.5,1.22
 Brunei Darussalam,6.8,28.9,106.0,0.17,14.1,0.87,1.09,2.5,38.6,0.647,1.4,77.5,64.2,56883.0,107447.0,13.4,13.5,13.2,103.2,3.1,75.3,75.3,75.9,0.971,0.47400000000000003,3.7,13.1,82050.0,27.3,47.0,110.0,85.0,13.0,13.0,82489.0,0.4,106.0,1.2,0.802,0.825,0.8190000000000001,1.0,13.1,1.0,1.0,813.0,9.0,55.8,79.9,68.0,75.2,76.9,73.7,0.8490000000000001,0.825,31.0,8.3,8.0,8.5,25.5,28.5,89.0,9.5,124.0,11.8,2.0,2.0,2.0,2.0,2.0,2.45,3.6,79.9,13.1,2.0,2.0,2.0,2.0,2.0,2.0,88.6,81.9,2.0,63.2,61.6,64.6,0.2,0.0,0.3,0.0,71.2,1.2,-2.05,99.2,14.0,1.2,0.87,0.0,100.0,1.06,41.1,10.4,0.9,1.3,1.42,106.0,5.6,17.6,4.0,0.3,45.8,1.09
