,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)",Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Bulgaria,-1.7,48.2,52.0,0.6,5.3,0.44,0.93,5.9,34.5,0.677,13.2,54.0,41.8,6604.0,10785.0,12.9,13.2,12.7,78.3,7.6,30.5,30.5,72.4,0.9740000000000001,0.336,4.1,19.2,8833.0,72.2,70.0,103.0,93.0,44.0,16.8,8642.0,0.1,52.0,4.2,0.7020000000000001,0.722,0.7120000000000001,0.674,19.2,5.0,11.0,2785.0,5.4,44.3,55.9,49.9,71.5,75.1,68.1,0.792,0.722,21.0,9.5,9.3,9.9,39.7,9.2,99.0,14.3,225.0,17.5,-3.3,-3.3,-3.3,-3.3,-3.3,2.45,24.5,55.9,19.2,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,99.7,85.8,-3.3,87.6,81.5,89.5,5.4,1.3,8.0,0.3,68.9,4.2,-6.2,99.8,17.0,4.2,0.44,8.0,100.0,1.06,47.5,10.8,7.8,24.4,0.95,52.0,16.2,33.3,14.1,37.6,23.1,0.93
 Burundi,-29.2,47.2,290.0,0.06,0.0,0.87,0.71,6.8,21.6,0.187,92.3,5.5,82.3,676.0,860.0,4.5,4.6,5.9,22.6,1.3,7.7,7.7,75.9,0.836,0.593,2.6,2.8,754.0,4.8,1.0,59.0,78.0,1.0,2.8,766.0,3.4,290.0,4.9,0.28600000000000003,0.342,0.303,0.308,2.8,12.0,28.0,29.0,0.1,84.3,83.0,83.7,51.5,53.2,49.8,0.485,0.342,954.0,1.8,1.3,2.5,15.3,0.3,328.0,92.8,382.0,151.0,-14.4,-14.4,-14.4,-14.4,-14.4,10.5,6.4,83.0,2.8,-14.4,-14.4,-14.4,-14.4,-14.4,-14.4,52.4,41.5,-14.4,4.6,3.1,6.4,3.0,0.2,6.4,1.2,8.2,4.9,-1.3,25.2,55.0,4.9,0.87,93.2,87.9,1.03,21.4,14.4,6.2,20.3,0.52,290.0,1.7,3.0,93.6,94.8,103.5,0.71
 Cambodia,5.6,51.5,575.0,0.12,0.2,2.79,0.87,6.4,6.4,0.319,73.7,17.9,76.7,1165.0,1540.0,7.6,6.8,8.4,110.9,3.2,65.4,65.4,20.3,0.85,0.598,1.7,17.4,1385.0,16.8,6.0,107.0,17.0,2.0,18.2,1347.0,1.6,575.0,4.7,0.387,0.455,0.42,0.39299999999999996,17.4,22.0,35.0,466.0,0.0,76.6,80.8,78.6,58.4,60.6,56.2,0.591,0.455,484.0,3.2,2.3,4.5,18.1,1.1,227.0,79.6,292.0,107.0,6.1,6.1,6.1,6.1,6.1,11.2,5.6,80.8,17.4,6.1,6.1,6.1,6.1,6.1,6.1,52.4,12.3,6.1,16.6,6.1,16.2,6.7,0.4,12.2,1.6,18.6,4.7,-3.7,31.8,50.0,4.7,2.79,81.1,9.0,1.04,49.3,9.3,10.5,18.2,0.92,575.0,2.5,4.7,84.6,96.9,75.2,0.87
 Cameroon,-1.4,162.0,309.0,0.09,0.2,0.22,1.19,4.3,13.3,0.36,66.8,23.6,70.7,1939.0,2965.0,7.1,6.5,7.7,50.9,1.6,46.8,46.8,16.3,0.8340000000000001,0.691,1.8,20.0,2604.0,39.8,13.0,87.0,28.0,5.0,19.6,2451.0,4.6,309.0,3.0,0.389,0.467,0.431,0.483,20.0,34.0,51.0,813.0,0.3,70.6,82.5,76.5,50.0,50.9,49.1,0.462,0.467,750.0,4.8,3.6,5.8,17.3,0.7,397.0,100.5,425.0,165.7,-0.7,-0.7,-0.7,-0.7,-0.7,4.0,6.5,82.5,20.0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,55.3,39.8,-0.7,21.1,15.6,27.9,7.9,0.5,15.3,2.6,45.5,3.0,-1.5,56.0,25.0,3.0,0.22,84.5,21.0,1.03,41.3,5.6,7.7,23.8,1.45,309.0,7.5,13.3,78.0,53.7,87.0,1.19
 Canada,9.5,20.1,6.4,0.46,17.4,0.07,0.91,8.3,111.1,0.805,3.3,74.2,60.8,26667.0,46502.0,15.8,16.2,15.4,82.9,9.2,38.2,38.2,76.1,0.976,0.47400000000000003,5.4,20.7,37432.0,1151.8,45.0,100.0,101.0,22.0,19.7,36493.0,0.4,6.4,1.8,0.855,0.8759999999999999,0.867,0.8909999999999999,20.7,5.0,4.0,19627.0,51.3,58.7,72.1,65.3,79.1,81.7,76.5,0.909,0.8759999999999999,9.0,11.0,10.9,11.1,36.8,28.4,61.0,5.2,101.0,6.2,5.1,5.1,5.1,5.1,5.1,2.45,18.4,72.1,20.7,5.1,5.1,5.1,5.1,5.1,5.1,99.9,98.5,5.1,99.4,88.2,97.0,21.0,3.9,30.7,1.8,79.5,1.8,1.4,99.3,17.0,1.8,0.07,21.5,100.0,1.05,46.4,10.4,5.1,17.4,0.97,6.4,6.8,12.7,10.6,37.6,28.1,0.91
 Central African Republic,6.8,134.6,1070.0,0.09,0.1,0.87,1.05,3.5,12.0,0.243,86.1,6.9,67.0,686.0,1107.0,5.3,4.2,6.5,45.7,0.1,36.0,36.0,75.9,0.731,0.706,1.6,11.1,813.0,3.1,45.0,101.0,78.0,2.0,11.1,893.0,9.3,1070.0,4.9,0.26,0.35600000000000004,0.309,0.331,11.1,40.0,64.0,11.0,0.1,64.2,79.0,71.4,43.9,45.2,42.7,0.368,0.35600000000000004,1200.0,2.9,1.7,4.2,18.6,0.1,523.0,112.4,540.0,172.3,1.4,1.4,1.4,1.4,1.4,8.4,7.1,79.0,11.1,1.4,1.4,1.4,1.4,1.4,1.4,52.1,15.0,1.4,14.4,7.4,22.2,2.0,0.1,3.8,0.6,37.6,4.9,-2.05,31.7,25.0,4.9,0.87,85.1,0.7,1.03,28.7,7.3,7.8,25.8,1.19,1070.0,6.2,11.4,72.9,85.0,78.2,1.05
 Chad,6.8,216.4,151.0,0.02,0.0,0.87,1.09,6.2,12.3,0.182,86.9,6.5,68.4,744.0,1217.0,4.9,3.4,6.3,51.6,8.3,5.0,5.0,75.9,0.9329999999999999,0.47400000000000003,2.6,23.3,993.0,8.3,45.0,64.0,11.0,1.0,20.9,980.0,2.0,151.0,11.4,0.64,0.688,0.299,0.345,23.3,55.0,72.0,813.0,0.0,64.5,80.7,72.5,47.6,48.6,46.6,0.425,0.688,1370.0,1.4,7.1,7.5,15.6,0.1,387.0,100.3,427.0,185.1,1.8,1.8,1.8,1.8,1.8,9.6,5.9,80.7,23.3,1.8,1.8,1.8,1.8,1.8,1.8,39.0,9.9,1.8,47.9,46.35,49.2,4.0,0.2,8.3,1.7,21.6,11.4,-2.05,13.7,69.0,11.4,0.87,97.2,0.5,1.03,28.4,2.4,6.6,17.6,1.4,151.0,5.6,10.1,93.7,90.5,101.1,1.09
 Chile,5.8,62.1,23.0,0.27,3.9,0.02,1.1,7.0,71.3,0.672,14.4,62.2,49.5,7510.0,20468.0,13.7,13.5,13.9,59.3,6.2,21.3,21.3,74.5,0.927,0.435,3.8,22.1,14315.0,218.5,83.0,106.0,84.0,36.0,21.0,13917.0,0.2,23.0,4.9,0.726,0.7829999999999999,0.759,0.746,22.1,2.0,3.0,1742.0,16.6,35.6,74.3,54.5,76.8,79.7,73.7,0.8740000000000001,0.7829999999999999,31.0,8.8,8.7,9.1,28.9,22.3,76.0,9.2,142.0,10.9,0.3,0.3,0.3,0.3,0.3,0.1,11.4,74.3,22.1,0.3,0.3,0.3,0.3,0.3,0.3,95.3,91.9,0.3,59.0,65.6,67.9,10.0,1.1,15.3,1.3,86.1,4.9,-1.9,99.0,32.0,4.9,0.02,31.4,86.6,1.04,36.8,8.9,3.1,19.2,1.16,23.0,9.2,21.4,27.5,5.8,41.5,1.1
 China,22.1,9.9,109.0,0.73,2.7,0.06,0.92,4.5,118.4,0.48100000000000004,43.8,28.1,73.7,2866.0,4416.0,9.6,9.5,10.1,39.4,3.5,18.9,18.9,79.8,0.9129999999999999,0.255,4.1,34.4,3701.0,4672.7,44.0,101.0,60.0,8.0,33.4,3662.0,0.4,109.0,2.1,0.5710000000000001,0.626,0.594,0.544,34.4,6.0,16.0,31229.0,1.8,71.0,83.2,77.2,72.0,73.7,70.4,0.799,0.626,58.0,6.5,6.1,7.4,30.1,6.6,92.0,30.1,124.0,36.9,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,10.1,83.2,34.4,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,77.5,60.6,-0.1,52.3,43.4,60.8,878.5,88.6,1283.2,81.8,35.9,2.1,-2.8,96.6,25.0,2.1,0.06,29.7,94.1,1.14,42.6,21.8,12.7,10.9,0.82,109.0,4.5,10.0,53.3,65.6,36.0,0.92
 Colombia,-0.7,83.3,36.0,0.17,1.4,1.61,1.23,5.5,30.4,0.534,21.6,60.3,48.2,5081.0,11310.0,11.4,11.7,11.2,32.7,2.4,55.7,55.7,76.0,0.96,0.508,3.5,14.9,8308.0,335.7,42.0,121.0,70.0,23.0,14.1,8162.0,0.4,36.0,65.7,0.636,0.6629999999999999,0.653,0.665,14.9,9.0,12.0,557.0,2.2,41.7,80.5,60.6,71.0,74.8,67.3,0.785,0.6629999999999999,97.0,6.5,6.4,6.6,24.4,5.6,111.0,21.2,230.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,7.4,80.5,14.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,75.8,-1.0,41.4,38.0,38.6,25.7,1.9,40.4,4.2,74.0,65.7,-2.3,86.1,26.0,65.7,1.61,28.0,83.8,1.05,38.7,12.2,2.7,10.0,1.68,36.0,20.5,39.1,46.4,18.7,49.5,1.23
 Congo,-46.1,133.1,356.0,0.07,0.3,0.32,0.98,1.7,8.7,0.45399999999999996,41.8,35.0,54.3,2887.0,4026.0,9.7,8.9,10.4,123.9,-3.0,66.0,66.0,26.2,0.877,0.62,4.1,22.6,4480.0,14.5,3.0,86.0,78.0,5.0,20.9,3456.0,4.3,356.0,11.3,0.456,0.521,0.49,0.535,22.6,55.0,66.0,19.0,0.0,66.1,69.9,68.0,51.4,52.4,50.4,0.483,0.521,653.0,5.5,4.8,6.3,19.0,2.2,408.0,74.2,428.0,117.3,3.3,3.3,3.3,3.3,3.3,1.4,6.5,69.9,22.6,3.3,3.3,3.3,3.3,3.3,3.3,56.8,12.7,3.3,44.5,39.6,46.8,1.8,0.1,3.2,0.5,58.7,11.3,-4.9,96.3,60.0,11.3,0.32,64.9,87.9,1.03,46.3,12.0,8.5,25.8,1.14,356.0,20.1,40.4,77.0,71.9,75.7,0.98
 Costa Rica,13.7,83.2,19.0,0.14,1.4,0.91,1.18,6.5,34.6,0.593,20.6,57.0,56.4,5625.0,13209.0,11.7,11.9,11.6,86.9,4.8,46.5,46.5,59.0,0.941,0.423,4.7,20.7,9878.0,38.8,46.0,113.0,64.0,22.0,19.8,9432.0,0.2,19.0,6.3,0.6779999999999999,0.721,0.711,0.687,20.7,10.0,18.0,1088.0,5.8,38.6,80.5,59.5,77.4,79.8,75.1,0.884,0.721,38.0,8.0,7.5,7.5,25.6,5.4,71.0,11.1,127.0,12.9,4.8,4.8,4.8,4.8,4.8,0.1,9.0,80.5,20.7,4.8,4.8,4.8,4.8,4.8,4.8,93.9,94.2,4.8,48.6,42.0,41.9,2.5,0.2,3.9,0.4,59.1,6.3,-3.0,98.4,25.0,6.3,0.91,32.9,96.8,1.05,38.1,19.3,1.8,13.8,1.56,19.0,5.1,11.3,23.5,5.8,48.4,1.18
 Croatia,5.1,19.1,42.0,0.28,4.4,3.75,1.01,7.7,34.5,0.6559999999999999,14.5,56.6,45.0,12410.0,18750.0,12.3,12.5,12.2,76.1,4.9,33.7,33.7,77.9,0.9620000000000001,0.20600000000000002,4.1,20.2,15742.0,69.7,52.0,95.0,86.0,32.0,19.9,15462.0,0.1,42.0,2.3,0.74,0.769,0.75,0.7609999999999999,20.2,5.0,7.0,5831.0,6.6,45.3,62.9,53.7,74.8,78.3,71.2,0.843,0.769,11.0,9.4,9.0,10.7,38.9,23.3,71.0,7.2,175.0,8.3,-8.3,-8.3,-8.3,-8.3,-8.3,0.3,23.2,62.9,20.2,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,98.5,97.1,-8.3,55.7,68.6,82.6,3.0,0.7,4.4,0.2,53.4,2.3,-8.1,99.9,19.0,2.3,3.75,26.8,100.0,1.06,43.0,16.1,6.9,27.8,1.2,42.0,16.1,36.0,18.8,37.6,25.8,1.01
 Cuba,6.8,69.4,12.0,0.23,2.3,0.87,0.99,5.2,34.5,0.6629999999999999,27.1,53.8,49.1,2288.0,5797.0,12.3,12.4,12.2,31.1,3.1,22.7,22.7,70.9,0.9079999999999999,0.39399999999999996,7.7,12.5,7931.0,45.2,103.0,101.0,83.0,22.0,11.9,4048.0,0.1,12.0,5.3,0.6409999999999999,0.706,0.6859999999999999,0.5589999999999999,12.5,2.0,6.0,1741.0,0.5,35.5,68.3,51.9,76.7,78.6,74.7,0.872,0.706,43.0,9.6,9.0,9.4,32.8,0.1,89.0,6.4,134.0,8.3,-2.4,-2.4,-2.4,-2.4,-2.4,0.2,14.4,68.3,12.5,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,93.0,89.2,-2.4,69.3,65.8,70.6,7.6,1.1,11.2,0.8,75.3,5.3,-2.05,99.9,12.0,5.3,0.87,34.4,87.9,1.06,40.1,27.6,8.6,21.6,1.31,12.0,5.4,11.5,11.2,9.1,31.9,0.99
 Cyprus,11.2,13.1,4.0,0.33,7.3,0.44,1.51,5.3,34.5,0.6759999999999999,5.4,70.8,57.8,19506.0,37338.0,12.4,12.6,12.2,137.5,8.4,18.6,18.6,97.9,0.9470000000000001,0.258,4.9,20.6,30086.0,20.9,57.0,97.0,93.0,20.0,20.1,28493.0,0.4,4.0,0.8,0.775,0.8190000000000001,0.802,0.8540000000000001,20.6,2.0,14.0,2686.0,15.3,49.6,71.9,60.8,78.0,80.1,75.9,0.892,0.8190000000000001,15.0,10.0,9.3,10.3,31.8,23.1,47.0,5.8,91.0,6.7,11.8,11.8,11.8,11.8,11.8,2.45,15.2,71.9,20.6,11.8,11.8,11.8,11.8,11.8,11.8,100.0,100.0,11.8,64.7,59.1,68.1,0.6,0.1,0.9,0.1,68.6,0.8,-3.9,97.9,18.0,0.8,0.44,3.1,100.0,1.07,40.0,7.1,1.2,2.3,2.24,4.0,5.0,9.5,18.3,37.6,33.2,1.51
 Czechia,5.6,16.6,16.0,0.57,12.1,0.48,0.98,5.7,34.5,0.741,5.2,54.8,54.9,15226.0,26664.0,13.9,14.0,13.8,98.2,8.1,34.1,34.1,90.0,0.971,0.47400000000000003,3.7,31.4,21194.0,217.3,90.0,103.0,88.0,28.0,30.6,20790.0,0.1,16.0,1.8,0.809,0.833,0.7959999999999999,0.8059999999999999,31.4,1.0,3.0,4773.0,9.8,51.6,69.3,60.1,74.9,78.2,71.5,0.845,0.833,7.0,10.6,12.7,13.2,37.5,42.2,76.0,4.5,173.0,5.5,0.9,0.9,0.9,0.9,0.9,2.45,19.8,69.3,31.4,0.9,0.9,0.9,0.9,0.9,0.9,99.8,99.1,0.9,77.8,99.1,99.3,7.2,1.4,10.3,0.4,74.0,1.8,-5.2,99.8,17.0,1.8,0.48,5.9,100.0,1.06,44.4,10.4,5.2,22.9,1.42,16.0,8.8,16.9,10.9,37.6,23.5,0.98
 Côte d'Ivoire,6.8,138.3,367.0,0.14,0.4,1.11,1.31,5.7,22.4,0.297,50.2,43.3,63.0,1653.0,3844.0,6.8,5.4,8.1,74.6,2.2,32.5,32.5,37.1,0.737,0.47400000000000003,3.7,10.5,2948.0,49.2,2.0,73.0,78.0,22.0,10.3,2783.0,6.3,367.0,16.1,0.32899999999999996,0.446,0.39399999999999996,0.502,10.5,15.0,32.0,813.0,0.2,48.4,80.9,65.5,46.7,47.3,46.1,0.41,0.446,671.0,3.3,2.1,4.2,18.0,2.8,442.0,100.7,471.0,145.7,2.3,2.3,2.3,2.3,2.3,3.6,5.1,80.9,10.5,2.3,2.3,2.3,2.3,2.3,2.3,71.9,22.4,2.3,17.3,9.4,24.0,4.949999999999999,0.5,16.7,2.9,43.2,16.1,-2.05,62.8,45.0,16.1,1.11,63.7,23.2,1.03,37.7,10.4,10.7,32.2,1.63,367.0,3.9,5.5,77.2,53.1,81.3,1.31
 Denmark,15.0,8.0,13.0,0.23,9.6,0.41,1.03,8.1,34.5,0.809,3.7,71.0,62.8,32432.0,50774.0,16.2,16.8,15.7,83.0,21.9,13.8,13.8,88.3,0.9890000000000001,0.076,8.1,22.4,42338.0,226.1,91.0,101.0,127.0,57.0,21.5,41508.0,0.4,13.0,1.1,0.861,0.871,0.863,0.9109999999999999,22.4,2.0,1.0,3535.0,39.2,60.1,71.7,65.8,76.7,79.1,74.3,0.873,0.871,9.0,10.7,11.2,11.0,38.4,63.0,79.0,4.6,126.0,5.5,2.8,2.8,2.8,2.8,2.8,2.45,22.3,71.7,22.4,2.8,2.8,2.8,2.8,2.8,2.8,100.0,99.6,2.8,56.9,87.3,93.0,3.6,0.8,5.3,0.3,85.1,1.1,6.2,98.8,10.0,1.1,0.41,10.7,100.0,1.06,47.1,37.4,6.3,18.7,1.22,13.0,4.5,6.7,5.0,37.6,27.7,1.03
 Dominican Republic,13.9,111.0,100.0,0.28,2.3,7.57,1.29,4.2,31.5,0.5539999999999999,15.9,59.8,60.1,4745.0,10703.0,12.3,11.850000000000001,11.7,79.3,4.1,30.8,30.8,87.4,0.9329999999999999,0.484,1.9,27.9,8200.0,70.2,34.0,114.0,59.0,22.0,25.0,7731.0,2.3,100.0,14.1,0.64,0.688,0.657,0.657,27.9,9.0,15.0,2978.0,3.7,47.6,81.8,64.6,70.6,73.8,67.7,0.778,0.688,79.0,6.4,6.6,5.9,22.4,8.2,143.0,33.1,231.0,41.0,-3.6,-3.6,-3.6,-3.6,-3.6,0.2,8.6,81.8,27.9,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,91.1,79.3,-3.6,39.6,30.9,24.8,5.1,0.4,8.6,1.0,61.8,14.1,-5.0,97.6,31.0,14.1,7.57,18.4,73.8,1.05,41.3,14.5,2.7,13.5,2.06,100.0,7.0,13.6,40.2,8.8,58.6,1.29
 Ecuador,6.8,84.3,99.0,0.22,1.6,7.21,1.31,3.3,30.6,0.5770000000000001,33.7,47.0,61.8,4471.0,9224.0,12.4,11.850000000000001,11.7,59.5,-0.1,55.3,55.3,84.1,0.9329999999999999,0.488,1.2,21.3,7388.0,93.3,64.0,111.0,58.0,22.0,19.0,6854.0,0.3,99.0,14.5,0.64,0.688,0.67,0.639,21.3,6.0,1.0,627.0,1.5,52.9,83.1,67.9,72.9,76.1,70.0,0.8140000000000001,0.688,103.0,7.0,6.6,6.9,22.8,3.8,115.0,28.4,201.0,34.5,-1.2,-1.2,-1.2,-1.2,-1.2,0.9,8.3,83.1,21.3,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,83.1,70.8,-1.2,37.6,37.4,39.0,7.6,0.6,12.6,1.5,60.3,14.5,9.5,96.3,23.0,14.5,7.21,20.0,84.8,1.05,42.0,14.6,3.7,9.8,2.15,99.0,9.0,18.1,35.8,43.2,57.6,1.31
 Egypt,8.5,57.2,26.0,0.27,2.0,2.86,1.49,5.2,89.0,0.46799999999999997,29.6,49.1,42.0,2555.0,12300.0,11.1,10.5,11.6,39.0,1.2,0.1,0.1,93.9,0.805,0.633,4.1,19.6,7388.0,516.5,11.0,91.0,79.0,22.0,18.9,7457.0,0.1,26.0,4.9,0.531,0.659,0.611,0.6509999999999999,19.6,2.0,2.0,5116.0,0.6,19.9,72.6,46.1,68.6,71.1,66.2,0.748,0.659,63.0,4.8,3.5,6.1,21.2,1.9,135.0,37.3,217.0,46.9,-0.6,-0.6,-0.6,-0.6,-0.6,1.4,8.4,72.6,19.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,98.2,92.4,-0.6,36.3,28.3,46.2,40.9,3.4,69.9,8.3,42.8,4.9,-1.5,60.9,23.0,4.9,2.86,8.1,95.9,1.06,16.1,2.0,2.4,5.1,4.06,26.0,9.0,25.0,22.9,52.0,62.4,1.49
 El Salvador,10.1,95.2,32.0,0.17,1.0,14.97,1.03,8.0,58.8,0.495,21.6,54.2,57.2,4092.0,8532.0,11.6,11.3,11.8,68.7,1.5,16.0,16.0,44.9,0.943,0.521,2.5,17.7,5656.0,33.2,44.0,113.0,59.0,22.0,17.7,6232.0,0.6,32.0,60.5,0.601,0.637,0.615,0.624,17.7,1.0,3.0,795.0,1.2,45.4,79.9,61.5,68.8,73.3,64.3,0.7509999999999999,0.637,84.0,5.2,5.4,6.2,22.0,12.7,135.0,26.9,305.0,32.5,-11.4,-11.4,-11.4,-11.4,-11.4,1.4,9.5,79.9,17.7,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,80.2,81.9,-11.4,29.0,26.7,31.8,3.4,0.3,5.9,0.7,58.9,60.5,-1.3,96.3,25.0,60.5,14.97,50.9,65.2,1.05,49.1,9.5,7.5,27.3,0.75,32.0,7.0,14.4,39.6,18.2,63.3,1.03
 Equatorial Guinea,6.8,189.4,96.0,0.07,0.7,0.87,1.09,2.5,4.7,0.402,72.0,18.9,55.2,6460.0,11267.0,8.0,6.6,9.5,334.1,14.8,62.1,62.1,75.9,0.9329999999999999,0.47400000000000003,4.1,131.1,10793.0,6.6,24.0,102.0,23.0,2.0,125.5,8949.0,3.5,96.0,3.3,0.64,0.688,0.516,0.679,131.1,36.0,49.0,813.0,0.1,51.6,64.8,58.6,52.8,54.2,51.4,0.504,0.688,702.0,5.4,7.1,7.5,19.6,0.8,310.0,104.5,357.0,151.6,12.5,12.5,12.5,12.5,12.5,3.1,6.7,64.8,131.1,12.5,12.5,12.5,12.5,12.5,12.5,48.9,80.2,12.5,47.9,46.35,49.2,0.3,0.0,0.6,0.1,49.1,3.3,-2.05,64.6,43.0,3.3,0.87,52.6,40.9,1.03,30.4,5.0,12.8,41.6,1.29,96.0,5.8,11.9,43.8,27.0,73.0,1.09
 Eritrea,0.4,97.9,177.0,0.11,0.2,0.47,1.05,5.6,150.5,0.585,82.2,9.8,75.3,1310.0,2046.0,4.7,4.0,5.3,67.9,3.9,15.6,15.6,28.3,0.9329999999999999,0.47400000000000003,4.1,22.0,1679.0,5.7,6.0,59.0,25.0,1.0,22.0,1678.0,1.8,177.0,9.9,0.64,0.688,0.669,0.426,22.0,12.0,24.0,70.0,0.1,74.1,88.1,81.0,55.3,57.2,53.4,0.542,0.688,733.0,7.35,7.1,7.5,17.1,0.0,337.0,58.2,404.0,88.9,-4.3,-4.3,-4.3,-4.3,-4.3,25.2,6.4,88.1,22.0,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,16.8,7.5,-4.3,47.9,46.35,49.2,1.8,0.1,3.4,0.5,26.6,9.9,-2.05,96.3,48.0,9.9,0.47,76.8,18.6,1.05,29.4,14.7,8.0,31.4,1.15,177.0,7.0,11.4,47.6,77.3,85.8,1.05
 Estonia,12.0,30.4,61.0,0.68,10.6,0.07,0.95,5.2,34.5,0.8079999999999999,6.4,58.7,51.1,11785.0,19065.0,15.0,15.8,14.2,126.5,7.3,52.9,52.9,28.7,1.032,0.282,5.3,28.8,15703.0,21.9,92.0,103.0,94.0,55.0,26.6,15180.0,0.4,61.0,10.2,0.794,0.769,0.78,0.759,28.8,4.0,7.0,1220.0,28.6,52.6,66.6,59.0,70.4,76.1,64.7,0.7759999999999999,0.769,26.0,11.7,12.1,11.9,38.0,39.8,118.0,8.8,308.0,11.0,-0.2,-0.2,-0.2,-0.2,-0.2,2.45,22.3,66.6,28.8,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,99.1,99.1,-0.2,87.3,85.9,89.0,0.9,0.2,1.4,0.1,69.4,10.2,-7.3,99.5,14.0,10.2,0.07,19.8,100.0,1.07,50.6,17.8,9.8,44.7,0.77,61.0,13.4,21.1,5.1,37.6,26.1,0.95
