 Albania,9.8
 Algeria,4.8
 Argentina,22.8
 Armenia,6.7
 Australia,20.0
 Austria,24.9
 Azerbaijan,4.8
 Bahamas,2.5
 Bahrain,9.0
 Bangladesh,6.6
 Barbados,3.3
 Belarus,68.7
 Belgium,28.2
 Belize,16.5
 Benin,21.8
 Bhutan,20.0
 Bolivia (Plurinational State of),36.7
 Botswana,23.9
 Brazil,9.5
 Brunei Darussalam,1.3
 Bulgaria,24.4
 Burundi,20.3
 Cambodia,18.2
 Cameroon,23.8
 Canada,17.4
 Central African Republic,25.8
 Chad,17.6
 Chile,19.2
 China,10.9
 Colombia,10.0
 Congo,25.8
 Costa Rica,13.8
 Croatia,27.8
 Cuba,21.6
 Cyprus,2.3
 Czechia,22.9
 Côte d'Ivoire,32.2
 Denmark,18.7
 Dominican Republic,13.5
 Ecuador,9.8
 Egypt,5.1
 El Salvador,27.3
 Equatorial Guinea,41.6
 Eritrea,31.4
 Estonia,44.7
 Eswatini (Kingdom of),32.6
 Ethiopia,23.2
 Fiji,13.6
 Finland,33.2
 France,23.9
 Gabon,17.8
 Gambia,18.1
 Georgia,9.7
 Germany,17.9
 Ghana,15.4
 Greece,5.0
 Guatemala,7.4
 Guinea,13.7
 Guinea-Bissau,14.8
 Guyana,41.2
 Haiti,15.5
 Honduras,6.3
 Hungary,43.5
 Iceland,22.0
 India,21.5
 Indonesia,4.8
 Iran (Islamic Republic of),10.2
 Iraq,4.9
 Ireland,19.5
 Israel,12.0
 Italy,8.7
 Jamaica,0.4
 Japan,27.5
 Jordan,6.7
 Kazakhstan,70.3
 Kenya,18.8
 Korea (Republic of),20.8
 Kuwait,4.0
 Kyrgyzstan,26.4
 Lao People's Democratic Republic,23.9
 Latvia,57.2
 Lesotho,23.2
 Liberia,14.8
 Libya,9.7
 Lithuania,80.0
 Luxembourg,20.0
 Madagascar,13.8
 Malawi,21.0
 Malaysia,11.2
 Maldives,26.4
 Mali,14.1
 Malta,9.1
 Mauritania,12.1
 Mauritius,19.3
 Mexico,6.6
 Moldova (Republic of),30.5
 Mongolia,51.6
 Morocco,14.6
 Mozambique,23.2
 Myanmar,4.7
 Namibia,21.5
 Nepal,12.8
 Netherlands,11.3
 New Zealand,20.7
 Nicaragua,26.7
 Niger,11.2
 Nigeria,20.4
 Norway,18.8
 Oman,8.0
 Pakistan,4.1
 Panama,12.6
 Papua New Guinea,19.9
 Paraguay,16.3
 Peru,10.7
 Philippines,4.7
 Poland,32.6
 Portugal,9.1
 Qatar,4.9
 Romania,19.6
 Russian Federation,63.1
 Rwanda,31.8
 Saint Lucia,12.9
 Saudi Arabia,5.2
 Senegal,23.5
 Sierra Leone,32.8
 Singapore,15.0
 Slovakia,21.9
 Slovenia,40.0
 South Africa,20.7
 Spain,10.1
 Sri Lanka,59.5
 Sudan,18.2
 Suriname,46.3
 Sweden,17.1
 Switzerland,24.1
 Syrian Arab Republic,4.0
 Tajikistan,8.9
 Tanzania (United Republic of),19.1
 Thailand,14.5
 The former Yugoslav Republic of Macedonia,10.5
 Togo,24.7
 Tonga,5.1
 Trinidad and Tobago,23.5
 Tunisia,7.1
 Turkey,18.7
 Uganda,19.1
 Ukraine,57.1
 United Kingdom,12.5
 United States,15.9
 Uruguay,26.4
 Uzbekistan,14.0
 Venezuela (Bolivarian Republic of),15.9
 Viet Nam,11.7
 Yemen,13.0
 Zimbabwe,30.7
