,"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Coefficient of Human Inequality,Concentration index (exports) (value),Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Gender Development Index (GDI),Gender Inequality Index (GII),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),Homeless people due to natural disaster (average annual per million people),"Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)",Private capital flows (% of GDP),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Bangladesh,85.8,221.0,7.84,1.05,28.5,0.409,2.6,60.2,0.488,42.7,36.9,54.0,1813.0,4827.0,11.3,11.5,11.1,42.1,1.5,11.0,11.0,0.879,0.547,28.9,3133.0,505.0,28.9,3334.0,221.0,0.5539999999999999,0.631,0.5920000000000001,0.53,28.5,28.5,28.5,28.9,37.3,28.3,20.1,0.306,0.42100000000000004,0.38,0.6409999999999999,1.0,6.0,1915.5,14.4,32.4,80.5,56.5,72.2,73.9,70.6,0.802,0.631,176.0,5.2,5.1,6.5,25.6,81.5,29.7,36.3,-3.2,-3.2,-3.2,-3.2,-3.2,7.7,80.5,28.9,28.9,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,97.3,46.9,-3.2,43.1,42.0,45.9,105.7,8.1,161.2,15.3,34.3,-1.5,7.84,34.7,55.5,1.05,17.7,20.0,2.18,221.0,4.4,10.7,58.6,44.9,1.05
 Barbados,42.1,0.0,2.36,1.02,20.2,0.153,7.5,58.65,0.777,2.9,77.8,58.2,13151.0,17871.0,15.3,16.7,13.9,79.0,1.5,14.7,14.7,1.016,0.294,17.3,16458.0,4.7,17.1,15413.0,0.0,0.8009999999999999,0.789,0.797,0.7609999999999999,20.2,20.2,20.2,17.3,5.5,21.299999999999997,7.8,0.7340000000000001,0.5645,0.508,0.79,1.0,4.0,592.0,76.1,61.9,69.9,65.7,75.8,78.1,73.3,0.858,0.789,27.0,10.5,10.6,10.3,38.5,117.8,11.7,12.6,1.5,1.5,1.5,1.5,1.5,21.3,69.9,20.65,17.3,1.5,1.5,1.5,1.5,1.5,1.5,98.1,96.5,1.5,92.6,93.0,90.6,0.2,0.0,0.3,0.0,31.2,-2.4,2.36,2.8,100.0,1.04,51.2,19.6,0.88,0.0,11.4,32.3,15.8,29.1,1.02
 Belarus,19.2,55.0,1.65,1.09,6.4,0.245,6.1,49.8,0.836,9.5,58.1,63.9,13382.0,19498.0,15.5,16.0,15.0,115.9,2.9,42.5,42.5,1.024,0.145,29.0,17230.0,163.5,28.7,16228.0,55.0,0.813,0.794,0.805,0.769,6.4,6.4,6.4,29.0,3.7,9.7,5.8,0.8059999999999999,0.753,0.6940000000000001,0.764,1.0,1.0,4386.0,67.3,58.6,71.0,64.3,72.7,78.2,67.2,0.812,0.794,4.0,12.2,12.1,12.1,39.6,120.7,3.0,4.0,1.6,1.6,1.6,1.6,1.6,20.6,71.0,6.4,29.0,1.6,1.6,1.6,1.6,1.6,1.6,98.0,94.3,1.6,89.3,87.0,92.2,6.6,1.4,9.5,0.6,77.2,-1.1,1.65,6.8,100.0,1.06,51.3,29.2,1.0,55.0,0.5,1.2,2.5,23.2,1.09
 Belgium,5.5,9.5,2.17,0.93,8.3,0.096,10.5,148.0,0.89,1.2,77.4,48.9,32900.0,50858.0,19.8,20.8,18.8,160.2,-6.4,22.6,22.6,0.97,0.052000000000000005,23.6,41708.0,470.2,23.2,41727.0,9.5,0.895,0.9229999999999999,0.9129999999999999,0.9109999999999999,8.3,8.3,8.3,23.6,8.1,12.7,4.0,0.818,0.8370000000000001,0.795,0.9,1.0,4.0,8355.0,85.1,48.0,59.1,53.5,81.0,83.3,78.5,0.938,0.9229999999999999,7.0,11.7,11.3,11.7,41.3,113.2,3.2,4.0,4.7,4.7,4.7,4.7,4.7,28.0,59.1,8.3,23.6,4.7,4.7,4.7,4.7,4.7,4.7,100.0,99.5,4.7,82.3,80.1,84.7,7.3,2.0,11.3,0.6,97.9,-1.1,2.17,9.2,100.0,1.05,46.6,42.4,0.86,9.5,8.5,22.1,10.9,26.2,0.93
 Belize,66.6,25.0,4.76,1.54,21.8,0.282,6.2,66.0,0.7040000000000001,15.9,67.9,59.8,5804.0,9539.0,12.8,13.0,12.5,123.6,3.3,59.9,59.9,0.973,0.38,22.5,8128.0,2.9,21.5,7666.0,25.0,0.698,0.718,0.7090000000000001,0.655,21.8,21.8,21.8,22.5,15.9,37.9,11.6,0.5920000000000001,0.5479999999999999,0.40700000000000003,0.682,3.0,4.0,341.0,41.6,52.2,81.0,66.4,70.2,73.2,67.6,0.772,0.718,28.0,10.5,10.5,10.4,23.5,59.0,13.4,15.6,4.5,4.5,4.5,4.5,4.5,5.9,81.0,22.7,22.5,4.5,4.5,4.5,4.5,4.5,4.5,97.1,87.2,4.5,78.0,78.3,77.7,0.2,0.0,0.4,0.0,45.4,-3.3,4.76,35.0,87.5,1.03,41.8,13.3,2.24,25.0,10.0,18.8,22.5,50.9,1.54
 Benin,91.2,60.0,2.58,1.08,37.1,0.317,4.0,20.9,0.466,41.8,40.0,68.9,1720.0,2242.0,12.6,11.9,14.2,68.0,1.8,38.2,38.2,0.882,0.619,26.0,1987.0,21.0,26.4,1980.0,60.0,0.48100000000000004,0.545,0.508,0.451,37.1,37.1,37.1,26.0,44.8,29.4,37.0,0.257,0.318,0.318,0.39399999999999996,14.0,26.0,255.0,11.3,68.4,73.2,70.8,60.6,62.1,59.1,0.625,0.545,405.0,3.5,2.8,4.3,18.2,88.1,64.6,100.3,-0.9,-0.9,-0.9,-0.9,-0.9,6.0,73.2,37.4,26.0,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,67.0,13.9,-0.9,23.3,15.8,30.8,5.7,0.3,10.6,1.7,45.7,0.8,2.58,50.9,17.2,1.04,55.5,7.2,1.17,60.0,2.6,5.4,87.9,80.1,1.08
 Bhutan,24.7,153.0,0.95,1.28,28.4,0.359,3.5,51.8,0.445,58.0,32.4,65.0,5231.0,8684.0,12.2,12.3,12.1,95.0,0.5,72.3,72.3,0.889,0.489,54.0,7743.0,6.1,54.2,7066.0,153.0,0.565,0.635,0.603,0.643,28.4,28.4,28.4,54.0,44.8,19.6,20.7,0.245,0.426,0.517,0.608,1.0,3.0,155.0,39.8,57.8,74.1,66.6,69.8,70.0,69.6,0.7659999999999999,0.635,148.0,3.1,2.1,4.2,26.3,85.8,27.8,33.6,2.6,2.6,2.6,2.6,2.6,6.9,74.1,29.4,54.0,2.6,2.6,2.6,2.6,2.6,2.6,97.6,62.9,2.6,9.6,5.8,13.4,0.5,0.0,0.8,0.1,38.7,-2.4,0.95,86.9,97.4,1.04,32.0,8.3,1.89,153.0,2.5,10.0,71.4,40.4,1.28
 Bolivia (Plurinational State of),70.4,117.0,3.61,1.19,28.8,0.439,6.4,67.1,0.672,27.9,49.6,65.0,4557.0,8128.0,13.8,13.5,14.1,67.9,1.7,50.6,50.6,0.925,0.45399999999999996,20.3,6532.0,70.0,21.4,6345.0,117.0,0.653,0.706,0.6809999999999999,0.627,28.8,28.8,28.8,20.3,20.8,36.4,29.0,0.532,0.483,0.39799999999999996,0.532,3.0,5.0,882.0,35.6,54.5,79.8,67.1,68.8,71.3,66.3,0.75,0.706,206.0,8.7,8.0,9.4,24.1,94.8,30.5,38.2,-1.2,-1.2,-1.2,-1.2,-1.2,10.6,79.8,29.0,20.3,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,92.9,52.6,-1.2,54.2,49.6,58.7,6.6,0.7,10.7,1.2,68.4,0.2,3.61,17.5,75.0,1.05,40.4,51.8,1.46,117.0,3.1,6.8,32.2,53.1,1.19
 Bosnia and Herzegovina,11.0,39.0,11.11,1.16,13.1,0.102,9.4,57.7,0.695,17.9,44.6,34.5,7349.0,14794.0,14.2,14.6,14.4,87.8,2.3,42.7,42.7,0.9129999999999999,0.172,18.7,10932.0,38.7,17.8,11004.0,39.0,0.722,0.7909999999999999,0.755,0.71,13.1,13.1,13.1,18.7,12.5,20.2,6.7,0.608,0.655,0.5670000000000001,0.8140000000000001,11.0,17.0,678.0,52.6,35.7,58.4,46.7,76.7,79.2,74.2,0.873,0.7909999999999999,11.0,9.0,7.8,10.6,41.0,97.4,5.3,6.1,-8.9,-8.9,-8.9,-8.9,-8.9,22.5,58.4,13.3,18.7,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,97.7,94.8,-8.9,78.0,69.5,87.5,2.5,0.6,3.5,0.2,47.2,-1.3,11.11,40.8,100.0,1.07,41.1,19.3,0.86,39.0,26.3,62.3,20.8,20.7,1.16
 Botswana,34.3,356.0,0.21,1.21,36.2,0.807,6.0,12.4,0.6579999999999999,26.9,59.3,59.0,12230.0,18057.0,12.6,12.8,12.5,105.7,4.7,19.1,19.1,0.9790000000000001,0.445,32.1,15357.0,33.9,34.0,15109.0,356.0,0.6990000000000001,0.7140000000000001,0.706,0.758,36.2,36.2,36.2,32.1,32.1,55.5,20.9,0.447,0.43799999999999994,0.337,0.5579999999999999,2.0,3.0,1528.0,37.3,65.0,78.3,71.5,65.8,68.7,62.9,0.705,0.7140000000000001,129.0,9.2,9.2,9.5,24.4,157.3,33.9,42.1,1.4,1.4,1.4,1.4,1.4,5.8,78.3,38.0,32.1,1.4,1.4,1.4,1.4,1.4,1.4,79.2,60.0,1.4,85.9,85.1,86.7,1.4,0.1,2.2,0.3,67.2,3.4,0.21,28.9,36.0,1.03,47.4,9.5,1.48,356.0,17.5,35.3,15.0,49.3,1.21
