,"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Coefficient of Human Inequality,Concentration index (exports) (value),Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Gender Development Index (GDI),Gender Inequality Index (GII),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),Homeless people due to natural disaster (average annual per million people),"Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)",Private capital flows (% of GDP),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Brazil,64.3,42.0,0.16,1.18,25.0,0.128,8.9,107.1,0.68,10.2,67.6,58.7,12554.0,16206.0,15.4,15.7,14.7,27.0,4.1,59.0,59.0,1.018,0.413,17.4,14703.0,3028.2,17.8,14350.0,42.0,0.7609999999999999,0.748,0.757,0.75,25.0,25.0,25.0,17.4,22.6,37.8,14.4,0.526,0.563,0.466,0.728,3.0,4.0,6306.0,58.3,53.4,75.4,64.1,75.3,78.9,71.6,0.851,0.748,44.0,7.6,7.8,7.3,31.3,125.2,14.0,15.7,0.0,0.0,0.0,0.0,0.0,11.4,75.4,25.6,17.4,0.0,0.0,0.0,0.0,0.0,0.0,97.5,86.1,0.0,57.5,59.6,56.1,143.2,16.4,206.0,14.9,85.8,-4.6,0.16,43.8,98.2,1.05,44.4,10.8,1.4,42.0,8.4,19.9,27.0,32.4,1.18
 Brunei Darussalam,11.9,58.0,1.95,1.09,20.2,0.649,2.6,40.0,0.705,0.6,80.9,63.0,66248.0,90246.0,14.5,15.4,14.6,84.9,1.3,72.1,72.1,0.993,0.3745,35.2,74600.0,31.1,35.0,78611.0,58.0,0.851,0.857,0.852,1.0,20.2,20.2,20.2,35.2,17.45,21.299999999999997,4.4,0.5475,0.5645,0.508,0.8390000000000001,1.0,4.0,218.0,71.2,59.4,75.3,67.6,77.0,78.8,75.5,0.878,0.857,23.0,9.0,9.0,9.1,30.0,111.0,8.5,10.0,1.0,1.0,1.0,1.0,1.0,5.7,75.3,20.65,35.2,1.0,1.0,1.0,1.0,1.0,1.0,99.5,96.3,1.0,68.6,67.7,69.6,0.3,0.0,0.4,0.0,76.7,1.3,1.95,0.0,100.0,1.06,42.0,19.7,1.32,58.0,6.8,26.3,5.0,32.8,1.09
 Bulgaria,41.5,28.0,2.98,1.02,10.5,0.09300000000000001,8.2,60.3,0.8109999999999999,6.9,63.3,49.2,13200.0,20322.0,15.1,15.3,14.8,128.1,5.4,35.2,35.2,0.991,0.23,21.2,17000.0,122.0,21.0,16663.0,28.0,0.8029999999999999,0.81,0.807,0.773,10.5,10.5,10.5,21.2,5.5,18.2,7.8,0.7659999999999999,0.721,0.632,0.775,7.0,8.0,7099.0,56.7,48.6,60.2,54.2,74.6,78.1,71.2,0.84,0.81,11.0,11.8,11.8,11.7,43.5,128.1,7.0,8.2,-0.7,-0.7,-0.7,-0.7,-0.7,30.5,60.2,10.7,21.2,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,99.3,86.0,-0.7,94.2,93.1,95.5,4.7,1.4,7.2,0.3,74.0,-6.3,2.98,17.6,100.0,1.06,48.2,20.4,0.86,28.0,9.1,21.6,8.5,21.2,1.02
 Burkina Faso,109.9,52.0,3.69,1.59,33.3,0.642,5.4,32.2,0.27699999999999997,29.4,38.5,62.3,1195.0,1862.0,8.3,8.0,8.5,62.3,2.2,19.6,19.6,0.865,0.621,24.3,1596.0,28.9,24.7,1527.0,52.0,0.382,0.442,0.41200000000000003,0.41200000000000003,33.3,33.3,33.3,24.3,38.6,24.2,37.1,0.17,0.27399999999999997,0.312,0.386,5.0,12.0,163.0,11.4,58.3,75.4,66.7,59.9,60.5,59.2,0.614,0.442,371.0,1.4,1.0,2.0,17.0,79.8,54.4,88.5,-1.5,-1.5,-1.5,-1.5,-1.5,4.6,75.4,33.6,24.3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,53.9,22.5,-1.5,8.5,6.0,11.5,9.4,0.4,18.1,3.2,27.5,1.7,3.69,74.2,1.0,1.05,48.5,9.4,2.32,52.0,6.5,8.6,87.4,87.6,1.59
 Burundi,28.3,122.0,1.66,0.69,30.6,0.456,8.2,30.7,0.42100000000000004,91.6,6.1,77.3,859.0,634.0,11.7,11.3,12.1,36.0,1.6,10.7,10.7,0.9990000000000001,0.474,16.6,748.0,7.6,16.6,748.0,122.0,0.419,0.419,0.418,0.304,30.6,30.6,30.6,16.6,36.9,14.1,40.8,0.266,0.28600000000000003,0.261,0.33799999999999997,3.0,7.0,131.0,4.9,79.9,77.1,78.5,57.1,59.1,55.1,0.5710000000000001,0.419,712.0,2.9,2.6,3.6,17.6,49.0,50.1,74.6,-1.5,-1.5,-1.5,-1.5,-1.5,4.7,77.1,31.6,16.6,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,55.9,50.5,-1.5,8.7,7.1,9.6,5.4,0.3,10.2,1.9,12.1,-2.4,1.66,95.7,1.4,1.03,22.0,37.8,0.52,122.0,1.6,2.9,92.7,84.8,0.69
 Cabo Verde,76.2,139.0,12.59,1.09,19.9,0.306,4.8,84.5,0.5489999999999999,68.7,24.4,53.8,4041.0,7356.0,12.6,12.8,12.1,104.1,6.0,22.3,22.3,0.946,0.3745,30.2,5915.0,3.2,22.9,5692.0,139.0,0.627,0.6629999999999999,0.647,0.611,19.9,19.9,19.9,30.2,18.2,28.0,13.4,0.449,0.517,0.439,0.7,3.0,8.0,520.0,48.0,48.6,71.6,60.0,72.6,74.5,70.5,0.809,0.6629999999999999,42.0,5.9,5.9,6.4,23.8,114.7,18.9,22.2,-4.3,-4.3,-4.3,-4.3,-4.3,6.9,71.6,20.1,30.2,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,86.5,65.2,-4.3,62.6,63.85,65.65,0.3,0.0,0.5,0.1,64.3,-4.8,12.59,26.6,86.5,1.03,30.6,20.8,1.14,139.0,10.3,17.8,37.9,48.4,1.09
 Cambodia,49.5,368.0,2.22,1.0,22.4,0.31,6.0,65.1,0.479,28.8,44.4,84.3,2687.0,3505.0,11.7,11.2,12.1,127.9,9.4,53.6,53.6,0.912,0.473,22.5,3291.0,51.1,21.4,3086.0,368.0,0.542,0.595,0.5710000000000001,0.518,22.4,22.4,22.4,22.5,27.3,20.3,19.7,0.349,0.442,0.413,0.6,6.0,16.0,4775.0,22.3,80.8,88.5,84.5,68.6,70.6,66.5,0.748,0.595,161.0,4.7,3.7,5.5,23.9,134.4,27.5,32.0,-2.0,-2.0,-2.0,-2.0,-2.0,6.4,88.5,22.5,22.5,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,75.0,48.8,-2.0,19.6,13.2,26.1,10.0,0.6,15.5,1.8,22.2,-9.1,2.22,64.9,34.1,1.05,50.3,19.0,1.0,368.0,0.2,0.4,52.0,49.2,1.0
 Cameroon,113.4,212.0,0.78,1.2,32.4,0.373,5.1,13.9,0.542,62.4,28.5,72.9,2688.0,3797.0,12.2,11.0,12.6,49.9,2.2,39.8,39.8,0.865,0.573,22.4,3289.0,75.1,23.0,3243.0,212.0,0.503,0.581,0.5479999999999999,0.526,32.4,32.4,32.4,22.4,34.8,23.1,39.4,0.354,0.369,0.40399999999999997,0.35,8.0,21.0,1915.5,20.7,71.1,81.4,76.2,57.6,58.8,56.4,0.578,0.581,596.0,6.1,4.6,7.4,18.3,79.5,54.5,83.3,-0.3,-0.3,-0.3,-0.3,-0.3,5.9,81.4,32.8,22.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,65.3,38.8,-0.3,31.8,31.7,37.9,12.3,0.7,22.8,3.7,54.6,-4.3,0.78,76.5,20.7,1.03,42.4,27.1,1.49,212.0,4.3,9.1,71.5,80.0,1.2
 Canada,10.4,5.2,0.08,0.88,8.7,0.14,10.4,58.65,0.89,2.0,78.6,61.0,33874.0,51288.0,16.3,16.8,15.9,65.5,4.0,38.2,38.2,0.985,0.102,24.1,43149.0,1546.2,23.9,42512.0,5.2,0.912,0.9259999999999999,0.92,0.914,8.7,8.7,8.7,24.1,3.9,17.4,4.7,0.856,0.838,0.755,0.912,4.0,10.0,17971.0,88.5,60.8,70.5,65.5,82.2,84.1,80.2,0.9570000000000001,0.9259999999999999,7.0,13.1,13.3,12.9,40.5,82.8,4.5,5.1,6.5,6.5,6.5,6.5,6.5,23.8,70.5,8.9,24.1,6.5,6.5,6.5,6.5,6.5,6.5,98.9,98.5,6.5,100.0,100.0,100.0,24.4,5.8,36.0,1.9,81.3,-1.5,0.08,22.0,100.0,1.06,47.7,28.3,0.84,5.2,6.9,13.2,10.6,23.5,0.88
 Central African Republic,108.8,391.0,1.95,1.05,43.1,0.42700000000000005,4.8,33.0,0.33899999999999997,85.6,6.4,67.1,490.0,763.0,7.1,5.8,8.4,47.2,0.2,35.6,35.6,0.77,0.3745,13.9,622.0,2.8,13.9,624.0,391.0,0.309,0.401,0.35700000000000004,0.27699999999999997,43.1,43.1,43.1,13.9,34.5,49.2,45.7,0.222,0.20199999999999999,0.141,0.263,31.0,51.0,121.0,3.8,63.4,80.3,71.7,51.4,53.2,49.6,0.483,0.401,882.0,4.2,2.9,5.7,17.8,27.3,91.2,128.8,-17.6,-17.6,-17.6,-17.6,-17.6,7.0,80.3,43.5,13.9,-17.6,-17.6,-17.6,-17.6,-17.6,-17.6,54.1,25.1,-17.6,20.9,12.3,29.8,2.4,0.2,4.5,0.7,40.3,-2.4,1.95,76.6,0.4,1.03,30.1,19.7,1.19,391.0,6.4,11.5,67.4,83.1,1.05
 Chad,169.7,152.0,1.95,1.09,39.6,0.856,4.6,17.6,0.297,85.9,7.7,67.2,1624.0,2402.0,8.0,6.4,8.9,66.3,5.5,3.9,3.9,0.789,0.7040000000000001,28.4,2067.0,29.0,27.7,2014.0,152.0,0.354,0.44799999999999995,0.40700000000000003,0.45399999999999996,39.6,39.6,39.6,28.4,41.9,30.7,46.2,0.17300000000000001,0.245,0.314,0.26899999999999996,43.0,54.0,120.0,3.5,64.8,77.7,71.3,52.6,53.8,51.4,0.501,0.44799999999999995,856.0,2.3,1.2,3.4,16.1,39.0,76.8,130.9,1.5,1.5,1.5,1.5,1.5,4.9,77.7,40.0,28.4,1.5,1.5,1.5,1.5,1.5,1.5,42.5,9.5,1.5,62.6,1.7,9.9,7.0,0.3,14.0,2.6,22.5,-2.4,1.95,89.4,0.7,1.03,27.9,14.9,1.4,152.0,5.7,10.1,91.4,95.2,1.09
 Chile,48.0,17.0,0.02,1.12,17.1,0.324,8.1,120.7,0.797,9.4,67.3,58.2,14961.0,28881.0,16.3,16.6,16.1,59.0,8.6,23.9,23.9,0.961,0.325,23.8,22517.0,400.0,23.8,21854.0,17.0,0.82,0.8540000000000001,0.84,0.8140000000000001,17.1,17.1,17.1,23.8,8.2,35.5,7.6,0.731,0.687,0.525,0.8440000000000001,3.0,4.0,4478.0,64.3,50.1,74.8,62.3,79.3,81.7,76.7,0.9129999999999999,0.8540000000000001,22.0,10.3,10.2,10.5,33.7,130.6,7.3,8.4,0.9,0.9,0.9,0.9,0.9,15.2,74.8,18.2,23.8,0.9,0.9,0.9,0.9,0.9,0.9,100.0,99.9,0.9,80.2,78.5,80.6,12.2,1.9,17.8,1.2,87.4,-2.6,0.02,24.9,98.6,1.04,42.8,15.8,1.2,17.0,6.5,16.3,22.7,30.3,1.12
 China,6.6,66.0,0.4,0.91,20.2,0.10400000000000001,5.3,193.4,0.6409999999999999,19.6,53.4,66.5,10718.0,16156.0,13.8,14.3,13.8,39.5,2.2,22.2,22.2,0.956,0.157,45.4,13570.0,18607.3,43.8,13519.0,66.0,0.7290000000000001,0.762,0.743,0.741,20.2,20.2,20.2,45.4,17.45,29.5,8.9,0.5475,0.5645,0.522,0.7859999999999999,1.0,1.0,56886.0,50.3,62.4,76.7,69.7,76.1,77.7,74.6,0.863,0.762,27.0,7.7,7.5,8.2,37.0,92.5,9.2,10.7,-0.2,-0.2,-0.2,-0.2,-0.2,13.3,76.7,20.65,45.4,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,95.8,75.0,-0.2,75.0,69.8,79.4,1014.8,135.2,1397.0,85.9,55.5,-0.0,0.4,12.4,100.0,1.16,42.3,23.6,0.78,66.0,4.6,10.8,33.4,24.3,0.91
 Colombia,52.6,31.0,1.6,1.37,23.7,0.354,6.2,52.7,0.669,16.0,64.4,64.8,10143.0,15484.0,14.4,14.7,14.1,38.6,4.0,52.7,52.7,0.996,0.389,26.7,12985.0,626.3,26.4,12772.0,31.0,0.7390000000000001,0.743,0.742,0.733,23.7,23.7,23.7,26.7,17.4,39.4,14.3,0.5529999999999999,0.56,0.444,0.7140000000000001,7.0,6.0,2978.0,55.9,59.0,82.8,70.6,74.2,77.8,70.7,0.8340000000000001,0.743,64.0,8.1,8.2,7.9,30.1,118.9,13.6,15.8,-0.6,-0.6,-0.6,-0.6,-0.6,10.3,82.8,24.6,26.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,96.5,84.4,-0.6,50.2,50.3,49.2,33.1,3.4,48.2,3.7,79.8,-6.1,1.6,23.6,92.5,1.05,46.4,20.9,1.73,31.0,8.2,17.5,46.7,35.4,1.37
 Comoros,69.9,35.0,22.77,0.88,44.8,0.6579999999999999,8.0,25.7,0.473,55.4,29.5,41.0,1032.0,1772.0,11.2,11.0,11.3,65.1,0.9,19.9,19.9,0.8740000000000001,0.3745,18.4,1413.0,1.1,18.4,1405.0,35.0,0.462,0.529,0.502,0.39899999999999997,44.8,44.8,44.8,18.4,47.6,56.0,30.9,0.248,0.272,0.17600000000000002,0.462,4.0,10.0,24.0,7.5,35.6,50.1,42.8,63.5,65.2,61.8,0.669,0.529,335.0,4.8,3.6,5.6,19.7,54.6,56.5,75.8,-2.7,-2.7,-2.7,-2.7,-2.7,5.1,50.1,45.8,18.4,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,83.7,34.2,-2.7,62.6,63.85,65.65,0.4,0.0,0.8,0.1,28.5,-2.4,22.77,45.3,69.5,1.05,35.3,3.0,1.12,35.0,4.4,9.9,64.0,70.5,0.88
 Congo,117.5,379.0,0.35,0.98,24.6,0.6829999999999999,3.4,21.5,0.521,36.9,37.9,62.8,6389.0,8446.0,11.2,10.8,11.1,165.6,50.0,65.4,65.4,0.935,0.591,40.9,5543.0,27.7,40.9,7418.0,379.0,0.5870000000000001,0.628,0.613,0.6509999999999999,24.6,24.6,24.6,40.9,21.5,21.2,31.1,0.409,0.461,0.513,0.46799999999999997,15.0,20.0,363.0,7.6,67.5,72.1,69.8,64.1,65.7,62.5,0.679,0.628,442.0,6.3,5.5,6.7,18.9,104.4,39.2,55.4,-2.6,-2.6,-2.6,-2.6,-2.6,6.2,72.1,24.8,40.9,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,68.3,15.0,-2.6,47.4,45.0,50.0,2.7,0.2,5.0,0.8,65.5,-43.3,0.35,62.4,22.7,1.03,47.3,11.5,1.14,379.0,10.0,20.7,74.7,78.3,0.98
 Congo (Democratic Republic of the),126.8,324.0,0.37,1.11,31.7,0.48700000000000004,4.3,9.0,0.478,81.5,6.7,69.8,663.0,838.0,9.6,8.5,10.7,59.3,4.4,67.3,67.3,0.833,0.655,19.6,812.0,61.9,19.4,750.0,324.0,0.40299999999999997,0.484,0.444,0.304,31.7,31.7,31.7,19.6,27.7,28.2,39.1,0.34600000000000003,0.303,0.21899999999999997,0.368,18.0,21.0,1915.5,3.8,71.4,73.5,72.4,59.2,60.7,57.7,0.603,0.484,693.0,6.4,4.6,8.2,16.8,49.5,74.0,97.6,0.0,0.0,0.0,0.0,0.0,6.0,73.5,31.9,19.6,0.0,0.0,0.0,0.0,0.0,0.0,41.8,19.7,0.0,47.9,33.6,63.6,38.6,2.3,76.2,14.1,42.7,-2.8,0.37,95.8,0.4,1.03,36.9,8.2,1.42,324.0,3.7,7.3,53.5,91.5,1.11
 Costa Rica,56.3,11.0,1.01,1.17,18.2,0.228,8.1,74.3,0.713,12.3,68.5,56.4,10366.0,17802.0,15.1,15.7,14.7,62.5,5.4,54.0,54.0,0.9790000000000001,0.303,18.4,14739.0,70.9,18.6,14086.0,11.0,0.7759999999999999,0.7929999999999999,0.7879999999999999,0.747,18.2,18.2,18.2,18.4,12.4,34.1,8.2,0.624,0.638,0.493,0.843,7.0,7.0,2660.0,59.8,48.8,75.7,62.2,79.6,82.1,77.2,0.917,0.7929999999999999,25.0,8.8,8.8,8.5,31.4,156.7,7.9,9.1,0.8,0.8,0.8,0.8,0.8,12.9,75.7,19.1,18.4,0.8,0.8,0.8,0.8,0.8,0.8,99.7,97.1,0.8,54.2,54.5,53.8,3.3,0.4,4.8,0.3,76.9,-5.7,1.01,38.7,98.6,1.05,41.9,33.3,1.59,11.0,9.3,23.2,14.9,32.4,1.17
 Croatia,10.0,13.0,4.26,1.02,8.9,0.069,7.4,87.5,0.7929999999999999,9.2,64.1,44.3,16517.0,25505.0,15.1,15.8,14.6,94.1,0.3,34.3,34.3,0.99,0.14300000000000002,20.0,20984.0,88.2,19.6,20848.0,13.0,0.8240000000000001,0.833,0.8270000000000001,0.807,8.9,8.9,8.9,20.0,4.4,17.7,4.5,0.758,0.7509999999999999,0.6629999999999999,0.8440000000000001,2.0,7.0,12683.0,69.8,47.0,59.4,52.9,77.5,80.7,74.1,0.884,0.833,8.0,11.2,11.2,11.6,42.6,104.2,4.1,4.8,-1.5,-1.5,-1.5,-1.5,-1.5,28.5,59.4,9.1,20.0,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,99.6,97.5,-1.5,95.5,94.3,96.9,2.8,0.8,4.2,0.2,56.2,-0.5,4.26,33.1,100.0,1.06,47.1,15.2,1.08,13.0,16.2,42.4,10.4,22.4,1.02
 Cuba,47.1,7.0,1.95,1.0,20.2,0.23199999999999998,6.35,58.65,0.768,18.3,64.9,53.4,5053.0,10066.0,14.0,14.2,13.5,31.6,2.8,30.8,30.8,0.9440000000000001,0.307,9.4,11412.0,78.1,8.6,7562.0,7.0,0.7490000000000001,0.7929999999999999,0.772,0.653,20.2,20.2,20.2,9.4,10.9,21.299999999999997,5.5,0.684,0.5645,0.508,0.866,1.0,1.0,3491.0,37.3,41.9,67.6,54.7,79.6,81.6,77.6,0.9159999999999999,0.7929999999999999,39.0,11.4,11.5,12.0,41.1,29.1,4.3,5.6,-1.3,-1.3,-1.3,-1.3,-1.3,19.9,67.6,20.65,9.4,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,95.2,90.8,-1.3,84.8,85.1,88.5,8.0,1.6,11.5,0.6,76.9,-2.4,1.95,19.3,100.0,1.06,43.3,48.9,1.27,7.0,2.4,5.1,10.2,23.3,1.0
 Cyprus,4.9,6.2,1.29,0.94,10.8,0.214,6.8,308.5,0.792,4.0,79.8,53.3,25950.0,35522.0,14.3,15.0,13.8,128.2,41.2,18.7,18.7,0.988,0.111,14.2,30549.0,25.9,13.0,30744.0,6.2,0.856,0.866,0.86,0.865,10.8,10.8,10.8,14.2,12.4,15.9,4.0,0.6940000000000001,0.7659999999999999,0.728,0.8909999999999999,2.0,10.0,2659.0,71.7,57.9,67.4,62.6,80.3,82.5,78.2,0.9279999999999999,0.866,7.0,11.9,11.8,12.0,34.9,131.8,2.2,2.7,4.0,4.0,4.0,4.0,4.0,18.3,67.4,10.9,14.2,4.0,4.0,4.0,4.0,4.0,4.0,100.0,99.4,4.0,79.0,77.0,80.7,0.8,0.1,1.2,0.1,66.9,35.6,1.29,9.9,100.0,1.07,47.7,12.5,0.96,6.2,14.9,31.5,12.7,24.0,0.94
 Czechia,10.5,5.5,1.43,1.11,5.3,0.11800000000000001,7.3,68.9,0.8909999999999999,2.9,59.1,56.6,21470.0,35914.0,16.9,17.6,16.1,156.1,0.9,34.5,34.5,0.985,0.133,28.0,30605.0,322.8,26.5,28567.0,5.5,0.873,0.887,0.882,0.8540000000000001,5.3,5.3,5.3,28.0,1.4,11.1,3.5,0.879,0.8340000000000001,0.759,0.87,1.0,1.0,8707.0,75.7,51.4,68.2,59.6,78.6,81.5,75.6,0.9009999999999999,0.887,4.0,12.7,12.5,12.9,41.4,117.5,2.5,3.2,1.1,1.1,1.1,1.1,1.1,26.9,68.2,5.4,28.0,1.1,1.1,1.1,1.1,1.1,1.1,99.9,99.1,1.1,99.8,99.8,99.8,7.1,1.9,10.6,0.6,73.5,-2.5,1.43,14.8,100.0,1.06,44.3,19.6,1.45,5.5,5.1,12.6,13.8,22.6,1.11
 Côte d'Ivoire,134.4,159.0,1.01,1.36,37.4,0.418,5.4,30.7,0.41200000000000003,50.0,44.4,56.3,1535.0,4702.0,8.8,8.1,10.0,61.2,1.5,32.7,32.7,0.789,0.6659999999999999,20.1,3242.0,74.9,19.5,3142.0,159.0,0.41600000000000004,0.527,0.478,0.521,37.4,37.4,37.4,20.1,45.1,27.4,39.7,0.226,0.297,0.37799999999999995,0.307,1.0,31.0,1441.0,21.9,48.0,67.3,57.9,53.1,54.6,51.6,0.509,0.527,645.0,5.0,3.9,6.1,18.3,109.9,68.0,95.1,0.6,0.6,0.6,0.6,0.6,5.3,67.3,37.8,20.1,0.6,0.6,0.6,0.6,0.6,0.6,73.1,29.9,0.6,24.9,16.6,32.7,6.6,0.7,23.1,3.8,49.4,-4.4,1.01,64.5,30.0,1.03,46.4,9.2,1.67,159.0,2.7,3.8,74.0,78.5,1.36
 Denmark,4.3,6.5,0.42,0.93,7.0,0.095,10.3,214.6,0.9179999999999999,2.5,78.2,58.2,39211.0,54876.0,19.2,20.1,18.4,104.1,0.6,14.6,14.6,0.9790000000000001,0.042,20.0,45459.0,258.4,19.5,47000.0,6.5,0.9159999999999999,0.935,0.9259999999999999,0.929,7.0,7.0,7.0,20.0,3.0,14.3,3.8,0.89,0.86,0.7959999999999999,0.8959999999999999,4.0,9.0,10424.0,96.3,57.7,66.4,62.0,80.6,82.5,78.6,0.932,0.935,6.0,12.5,12.7,12.4,41.6,124.4,3.6,4.3,3.8,3.8,3.8,3.8,3.8,29.7,66.4,7.2,20.0,3.8,3.8,3.8,3.8,3.8,3.8,100.0,99.6,3.8,89.5,89.1,91.3,3.6,1.1,5.7,0.3,87.5,-3.9,0.42,33.2,100.0,1.06,47.6,37.4,1.08,6.5,6.2,10.8,5.1,26.3,0.93
 Djibouti,20.3,362.0,3.87,1.05,33.7,0.221,4.4,35.8,0.308,30.7,39.2,55.5,2281.0,3959.0,6.2,5.8,6.6,107.5,7.6,0.2,0.2,0.962,0.3745,44.7,11412.0,78.1,30.0,3124.0,362.0,0.726,0.7505,0.47,0.52,33.7,33.7,33.7,44.7,47.0,21.7,32.5,0.163,0.308,0.40700000000000003,0.439,10.0,26.0,1915.5,11.9,49.2,68.8,59.0,62.3,63.9,60.6,0.65,0.7505,229.0,4.1,8.8,9.149999999999999,23.7,33.9,54.9,66.2,1.4,1.4,1.4,1.4,1.4,6.4,68.8,34.6,44.7,1.4,1.4,1.4,1.4,1.4,1.4,76.9,51.4,1.4,62.6,63.85,65.65,0.6,0.0,0.9,0.1,77.4,-2.4,3.87,15.4,2.0,1.04,42.4,12.7,1.26,362.0,5.9,11.5,39.7,50.1,1.05
 Dominican Republic,97.8,60.0,7.55,1.64,21.6,0.18899999999999997,6.2,53.4,0.643,13.3,68.6,62.7,9598.0,15732.0,13.8,14.5,13.0,53.9,3.2,41.0,41.0,1.002,0.46799999999999997,22.6,13396.0,141.0,22.8,12655.0,60.0,0.727,0.726,0.7290000000000001,0.731,21.6,21.6,21.6,22.6,19.9,28.1,16.8,0.515,0.5710000000000001,0.526,0.687,1.0,10.0,5600.0,54.2,54.0,79.8,66.7,73.7,76.9,70.6,0.826,0.726,92.0,7.8,7.9,7.5,26.1,83.6,26.1,31.5,-3.0,-3.0,-3.0,-3.0,-3.0,10.5,79.8,21.8,22.6,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,94.5,82.7,-3.0,56.4,57.2,55.5,6.7,0.7,10.5,1.1,78.6,-8.2,7.55,16.5,95.9,1.05,44.7,19.1,2.37,60.0,5.9,13.6,41.5,47.3,1.64
