 Albania,9.5
 Algeria,5.4
 Argentina,20.5
 Armenia,7.3
 Australia,16.8
 Austria,21.1
 Azerbaijan,6.0
 Bahrain,10.2
 Bangladesh,5.2
 Barbados,3.7
 Belarus,56.0
 Belgium,24.8
 Belize,11.2
 Benin,22.9
 Bhutan,17.2
 Bolivia (Plurinational State of),32.6
 Bosnia and Herzegovina,11.1
 Botswana,23.2
 Brazil,10.1
 Brunei Darussalam,2.4
 Bulgaria,19.9
 Burkina Faso,25.0
 Burundi,21.7
 Cabo Verde,18.7
 Cambodia,17.9
 Cameroon,26.4
 Canada,16.6
 Central African Republic,29.6
 Chad,18.7
 Chile,17.3
 China,9.1
 Colombia,9.5
 Congo,25.9
 Congo (Democratic Republic of the),18.2
 Costa Rica,13.5
 Croatia,24.3
 Cuba,17.0
 Cyprus,2.6
 Czechia,22.0
 Côte d'Ivoire,36.5
 Denmark,16.1
 Dominican Republic,17.0
 Ecuador,14.8
 Egypt,4.5
 El Salvador,26.1
 Eritrea,29.8
 Estonia,35.5
 Eswatini (Kingdom of),31.8
 Ethiopia,20.6
 Fiji,14.2
 Finland,25.4
 France,22.4
 Gabon,16.4
 Gambia,16.7
 Georgia,7.7
 Germany,15.8
 Ghana,16.2
 Greece,5.1
 Guatemala,7.0
 Guinea,15.8
 Guyana,44.4
 Honduras,7.1
 Hungary,34.9
 Iceland,13.7
 India,20.3
 Indonesia,5.0
 Iran (Islamic Republic of),10.4
 Iraq,4.1
 Ireland,17.0
 Israel,10.7
 Italy,8.2
 Jamaica,3.3
 Japan,28.5
 Jordan,6.2
 Kazakhstan,53.3
 Kenya,18.1
 Korea (Republic of),34.7
 Kuwait,3.8
 Kyrgyzstan,20.5
 Lao People's Democratic Republic,21.5
 Latvia,41.1
 Lebanon,3.9
 Lesotho,21.2
 Liberia,17.5
 Libya,9.6
 Lithuania,64.2
 Luxembourg,16.9
 Madagascar,13.3
 Malawi,18.4
 Malaysia,9.6
 Maldives,19.9
 Mali,14.3
 Malta,7.0
 Mauritania,12.8
 Mauritius,13.7
 Mexico,7.3
 Moldova (Republic of),31.7
 Mongolia,57.7
 Montenegro,15.0
 Morocco,11.6
 Mozambique,21.8
 Myanmar,4.7
 Namibia,20.3
 Nepal,10.8
 Netherlands,11.6
 New Zealand,19.4
 Nicaragua,25.8
 Niger,12.1
 Nigeria,20.1
 Norway,14.5
 Oman,6.4
 Pakistan,3.0
 Panama,12.9
 Paraguay,14.6
 Peru,10.5
 Philippines,5.2
 Poland,34.3
 Portugal,12.6
 Qatar,5.1
 Romania,17.8
 Russian Federation,52.9
 Rwanda,30.0
 Saint Lucia,5.3
 Saudi Arabia,4.9
 Senegal,23.7
 Serbia,23.0
 Sierra Leone,32.0
 Singapore,14.6
 Slovakia,21.1
 Slovenia,33.6
 South Africa,19.6
 Spain,9.2
 Sri Lanka,48.2
 Sudan,18.6
 Suriname,49.4
 Sweden,17.2
 Switzerland,20.4
 Syrian Arab Republic,3.8
 Tajikistan,8.9
 Tanzania (United Republic of),16.2
 Thailand,17.9
 The former Yugoslav Republic of Macedonia,9.9
 Togo,24.7
 Tonga,5.1
 Trinidad and Tobago,16.8
 Tunisia,6.7
 Turkey,16.5
 Uganda,17.8
 Ukraine,40.4
 United Arab Emirates,4.4
 United Kingdom,10.9
 United States,16.7
 Uruguay,22.0
 Uzbekistan,11.3
 Venezuela (Bolivarian Republic of),10.4
 Viet Nam,11.1
 Yemen,13.6
 Zimbabwe,29.3
