 Afghanistan,10.9
 Albania,5.3
 Algeria,5.0
 Angola,38.1
 Argentina,23.7
 Armenia,8.0
 Australia,15.3
 Austria,18.5
 Azerbaijan,5.3
 Bahrain,9.5
 Bangladesh,5.3
 Barbados,0.5
 Belarus,35.0
 Belgium,23.4
 Belize,14.7
 Benin,22.7
 Bhutan,13.9
 Bolivia (Plurinational State of),26.7
 Bosnia and Herzegovina,7.1
 Botswana,19.5
 Brazil,9.6
 Brunei Darussalam,1.4
 Bulgaria,18.3
 Burkina Faso,25.1
 Burundi,20.3
 Cabo Verde,18.5
 Cambodia,17.9
 Cameroon,27.1
 Canada,15.3
 Central African Republic,30.3
 Chad,20.9
 Chile,15.3
 China,7.7
 Colombia,10.1
 Comoros,17.2
 Congo,17.9
 Congo (Democratic Republic of the),17.3
 Costa Rica,12.6
 Croatia,19.2
 Cuba,17.0
 Cyprus,6.7
 Czechia,17.7
 Côte d'Ivoire,38.8
 Denmark,13.5
 Djibouti,15.4
 Dominican Republic,12.2
 Ecuador,11.5
 Egypt,4.5
 El Salvador,19.2
 Estonia,26.4
 Eswatini (Kingdom of),27.3
 Ethiopia,20.7
 Fiji,13.5
 Finland,21.4
 France,19.0
 Gabon,18.1
 Gambia,15.5
 Georgia,9.7
 Germany,13.9
 Ghana,17.8
 Greece,5.4
 Guatemala,4.2
 Guinea,15.5
 Guinea-Bissau,13.6
 Guyana,46.0
 Haiti,17.7
 Honduras,5.8
 Hungary,25.8
 Iceland,17.2
 India,17.9
 Indonesia,4.5
 Iran (Islamic Republic of),4.2
 Iraq,4.8
 Ireland,18.0
 Israel,8.7
 Italy,8.7
 Jamaica,2.6
 Japan,21.7
 Jordan,5.3
 Kazakhstan,48.1
 Kenya,17.1
 Korea (Republic of),36.1
 Kuwait,5.7
 Kyrgyzstan,13.4
 Lao People's Democratic Republic,18.5
 Latvia,31.9
 Lebanon,4.0
 Lesotho,19.9
 Liberia,16.1
 Lithuania,47.1
 Luxembourg,11.6
 Madagascar,12.5
 Malawi,18.0
 Malaysia,9.5
 Maldives,13.1
 Mali,14.5
 Malta,8.2
 Mauritania,14.5
 Mauritius,14.0
 Mexico,8.1
 Moldova (Republic of),22.3
 Mongolia,48.2
 Montenegro,12.4
 Morocco,7.0
 Mozambique,20.5
 Myanmar,5.9
 Namibia,16.4
 Nepal,8.2
 Netherlands,12.9
 New Zealand,18.7
 Nicaragua,15.9
 Niger,11.5
 Nigeria,20.3
 Norway,12.9
 Oman,6.4
 Pakistan,2.5
 Panama,10.1
 Paraguay,13.7
 Peru,9.2
 Philippines,5.8
 Poland,32.7
 Portugal,14.3
 Qatar,7.3
 Romania,16.4
 Russian Federation,32.2
 Rwanda,24.3
 Saint Lucia,12.0
 Sao Tome and Principe,3.6
 Saudi Arabia,5.5
 Senegal,20.2
 Serbia,19.5
 Sierra Leone,29.7
 Singapore,11.9
 Slovakia,18.1
 Slovenia,24.5
 Solomon Islands,13.7
 South Africa,20.7
 Spain,9.4
 Sri Lanka,58.8
 Sudan,16.6
 Suriname,41.6
 Sweden,17.8
 Switzerland,15.5
 Tajikistan,7.2
 Tanzania (United Republic of),16.5
 Thailand,18.2
 The former Yugoslav Republic of Macedonia,9.9
 Timor-Leste,13.2
 Togo,23.1
 Trinidad and Tobago,22.4
 Tunisia,6.7
 Turkey,12.6
 Uganda,18.3
 Ukraine,28.7
 United Arab Emirates,3.6
 United Kingdom,11.7
 United States,19.5
 Uruguay,25.2
 Uzbekistan,13.6
 Vanuatu,10.8
 Venezuela (Bolivarian Republic of),5.4
 Viet Nam,11.3
 Yemen,12.6
 Zambia,18.2
 Zimbabwe,26.9
