 Afghanistan,11.1
 Albania,7.3
 Algeria,5.3
 Angola,38.8
 Argentina,21.4
 Armenia,7.9
 Australia,16.6
 Austria,19.4
 Azerbaijan,6.0
 Bahamas,2.6
 Bahrain,9.9
 Bangladesh,5.0
 Barbados,2.3
 Belarus,42.8
 Belgium,23.8
 Belize,11.8
 Benin,22.3
 Bhutan,14.5
 Bolivia (Plurinational State of),29.7
 Bosnia and Herzegovina,7.5
 Botswana,20.7
 Brazil,9.4
 Brunei Darussalam,0.9
 Bulgaria,18.0
 Burkina Faso,24.9
 Burundi,21.5
 Cabo Verde,18.8
 Cambodia,17.2
 Cameroon,27.2
 Canada,16.1
 Central African Republic,32.1
 Chad,19.8
 Chile,19.0
 China,8.2
 Colombia,11.6
 Comoros,17.9
 Congo,20.6
 Congo (Democratic Republic of the),17.1
 Costa Rica,14.2
 Croatia,21.5
 Cuba,18.5
 Cyprus,6.3
 Czechia,20.5
 Côte d'Ivoire,37.9
 Denmark,12.7
 Dominican Republic,12.5
 Ecuador,13.7
 Egypt,4.2
 El Salvador,21.6
 Equatorial Guinea,41.1
 Eritrea,26.9
 Estonia,26.6
 Eswatini (Kingdom of),28.5
 Ethiopia,20.4
 Finland,25.3
 France,21.3
 Gabon,18.1
 Gambia,15.7
 Georgia,9.3
 Germany,15.2
 Ghana,16.5
 Greece,5.1
 Guatemala,5.8
 Guinea,16.4
 Guinea-Bissau,14.7
 Guyana,43.4
 Haiti,15.9
 Honduras,6.7
 Hungary,32.7
 Iceland,18.6
 India,19.5
 Indonesia,4.8
 Iran (Islamic Republic of),6.9
 Iraq,4.3
 Ireland,17.0
 Israel,11.5
 Italy,8.0
 Jamaica,0.9
 Japan,27.7
 Jordan,5.5
 Kazakhstan,45.7
 Kenya,17.8
 Korea (Republic of),39.3
 Kuwait,5.0
 Kyrgyzstan,15.7
 Lao People's Democratic Republic,19.6
 Latvia,36.7
 Lebanon,3.5
 Lesotho,21.2
 Liberia,16.7
 Libya,9.8
 Lithuania,50.4
 Luxembourg,14.6
 Madagascar,13.4
 Malawi,17.8
 Malaysia,9.2
 Maldives,14.6
 Mali,14.7
 Malta,12.0
 Mauritania,13.8
 Mauritius,12.6
 Mexico,7.3
 Moldova (Republic of),31.6
 Mongolia,55.8
 Montenegro,13.1
 Morocco,8.2
 Mozambique,21.9
 Myanmar,5.1
 Namibia,18.9
 Nepal,9.3
 Netherlands,11.5
 New Zealand,17.8
 Nicaragua,17.2
 Niger,12.2
 Nigeria,20.3
 Norway,14.1
 Oman,6.8
 Pakistan,2.5
 Panama,10.4
 Paraguay,13.0
 Peru,10.3
 Philippines,6.6
 Poland,34.6
 Portugal,14.3
 Qatar,7.9
 Romania,19.7
 Russian Federation,40.0
 Rwanda,26.2
 Saint Lucia,11.5
 Saint Vincent and the Grenadines,6.4
 Sao Tome and Principe,3.5
 Saudi Arabia,5.7
 Senegal,21.6
 Serbia,19.1
 Sierra Leone,29.1
 Singapore,12.0
 Slovakia,20.0
 Slovenia,26.3
 Solomon Islands,13.8
 South Africa,20.2
 Spain,7.9
 Sri Lanka,47.6
 Sudan,17.8
 Suriname,45.7
 Sweden,16.9
 Switzerland,15.2
 Syrian Arab Republic,4.3
 Tajikistan,7.7
 Tanzania (United Republic of),16.1
 Thailand,19.5
 The former Yugoslav Republic of Macedonia,7.3
 Timor-Leste,15.1
 Togo,23.3
 Tonga,5.4
 Trinidad and Tobago,19.2
 Tunisia,6.8
 Turkey,14.9
 Uganda,18.0
 Ukraine,34.1
 United Arab Emirates,4.2
 United Kingdom,10.6
 United States,18.2
 Uruguay,24.2
 Uzbekistan,10.4
 Venezuela (Bolivarian Republic of),6.2
 Viet Nam,11.5
 Yemen,13.5
 Zambia,18.3
 Zimbabwe,28.5
