 Albania,3.1
 Algeria,2.3
 Argentina,5.0
 Armenia,1.7
 Australia,5.2
 Austria,7.8
 Azerbaijan,1.0
 Bahamas,1.0
 Bahrain,3.5
 Bangladesh,8.6
 Barbados,0.6
 Belarus,10.1
 Belgium,10.4
 Belize,2.5
 Benin,7.9
 Bhutan,13.7
 Bolivia (Plurinational State of),19.2
 Botswana,7.7
 Brazil,2.2
 Brunei Darussalam,0.9
 Bulgaria,7.8
 Burundi,6.2
 Cambodia,10.5
 Cameroon,7.7
 Canada,5.1
 Central African Republic,7.8
 Chad,6.6
 Chile,3.1
 China,12.7
 Colombia,2.7
 Congo,8.5
 Costa Rica,1.8
 Croatia,6.9
 Cuba,8.6
 Cyprus,1.2
 Czechia,5.2
 Côte d'Ivoire,10.7
 Denmark,6.3
 Dominican Republic,2.7
 Ecuador,3.7
 Egypt,2.4
 El Salvador,7.5
 Equatorial Guinea,12.8
 Eritrea,8.0
 Estonia,9.8
 Eswatini (Kingdom of),11.7
 Ethiopia,6.0
 Fiji,5.7
 Finland,10.4
 France,8.3
 Gabon,7.0
 Gambia,8.7
 Georgia,1.7
 Germany,5.2
 Ghana,3.6
 Greece,1.3
 Guatemala,1.6
 Guinea,6.9
 Guinea-Bissau,7.6
 Guyana,11.7
 Haiti,4.8
 Honduras,2.2
 Hungary,10.6
 Iceland,5.7
 India,16.8
 Indonesia,1.9
 Iran (Islamic Republic of),7.8
 Iraq,2.9
 Ireland,4.3
 Israel,2.9
 Italy,2.8
 Jamaica,0.1
 Japan,9.8
 Jordan,2.8
 Kazakhstan,12.4
 Kenya,4.5
 Korea (Republic of),8.5
 Kuwait,1.9
 Kyrgyzstan,5.0
 Lao People's Democratic Republic,12.2
 Latvia,9.9
 Lesotho,9.8
 Liberia,5.4
 Libya,4.1
 Lithuania,15.3
 Luxembourg,7.4
 Madagascar,5.0
 Malawi,4.8
 Malaysia,4.8
 Maldives,23.4
 Mali,6.3
 Malta,2.4
 Mauritania,4.9
 Mauritius,5.3
 Mexico,1.1
 Moldova (Republic of),4.2
 Mongolia,13.0
 Morocco,6.5
 Mozambique,7.5
 Myanmar,2.8
 Namibia,6.5
 Nepal,10.0
 Netherlands,5.2
 New Zealand,4.4
 Nicaragua,6.9
 Niger,6.0
 Nigeria,9.4
 Norway,5.8
 Oman,2.0
 Pakistan,2.8
 Panama,1.6
 Papua New Guinea,6.6
 Paraguay,6.6
 Peru,3.8
 Philippines,1.8
 Poland,5.5
 Portugal,2.1
 Qatar,1.2
 Romania,3.8
 Russian Federation,10.0
 Rwanda,3.8
 Saint Lucia,3.6
 Saudi Arabia,1.6
 Senegal,7.1
 Sierra Leone,17.1
 Singapore,8.0
 Slovakia,4.3
 Slovenia,12.7
 South Africa,6.5
 Spain,2.9
 Sri Lanka,17.9
 Sudan,6.5
 Suriname,12.0
 Sweden,7.4
 Switzerland,8.9
 Syrian Arab Republic,0.9
 Tajikistan,2.5
 Tanzania (United Republic of),6.2
 Thailand,7.7
 The former Yugoslav Republic of Macedonia,4.3
 Togo,8.8
 Tonga,4.0
 Trinidad and Tobago,5.2
 Tunisia,4.3
 Turkey,8.0
 Uganda,7.6
 Ukraine,9.8
 United Kingdom,3.6
 United States,3.9
 Uruguay,5.1
 Uzbekistan,4.4
 Venezuela (Bolivarian Republic of),2.0
 Viet Nam,3.7
 Yemen,5.9
 Zimbabwe,11.1
