,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Belarus,20.7,24.3,74.0,0.55,6.1,0.66,1.06,6.3,21.8,0.716,13.9,50.5,60.3,8975.0,14036.0,14.6,15.0,14.0,118.9,1.0,41.6,41.6,92.7,1.024,0.428,5.9,28.5,11213.0,108.4,103.0,98.0,85.0,67.0,26.5,11337.0,0.1,74.0,8.6,0.732,0.715,0.725,0.715,28.5,1.0,1.0,91.0,10.1,55.4,67.3,60.8,68.4,74.3,62.7,0.7440000000000001,0.715,13.0,9.3,9.2,9.4,38.1,42.6,128.0,6.5,369.0,8.5,-0.1,-0.1,-0.1,-0.1,-0.1,0.2,21.2,67.3,28.5,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,97.9,94.8,-0.1,55.2,51.7,55.8,6.7,1.4,9.6,0.4,72.4,8.6,-0.9,100.0,16.0,8.6,0.66,6.2,100.0,1.06,51.4,29.8,1.0,74.0,0.9,1.8,2.3,1.4,22.4,1.06
 Belgium,14.1,10.9,12.0,0.26,10.4,1.78,1.02,9.0,100.8,0.856,2.0,73.3,48.7,29282.0,51701.0,18.7,19.5,17.9,143.4,8.7,22.3,22.3,74.8,0.9670000000000001,0.10400000000000001,5.8,23.6,39803.0,417.1,119.0,100.0,160.0,61.0,22.2,40281.0,0.4,12.0,2.1,0.873,0.903,0.889,0.9059999999999999,23.6,2.0,12.0,6747.0,55.8,45.5,61.3,53.2,79.0,81.8,76.1,0.907,0.903,8.0,10.7,10.4,11.0,40.3,91.1,62.0,4.1,114.0,5.0,4.2,4.2,4.2,4.2,4.2,2.3,26.4,61.3,23.6,4.2,4.2,4.2,4.2,4.2,4.2,100.0,99.5,4.2,80.0,74.1,79.3,6.9,1.8,10.5,0.6,97.4,2.1,11.2,98.2,11.0,2.1,1.78,2.5,100.0,1.05,43.7,35.7,1.25,12.0,8.4,21.5,10.6,28.8,26.2,1.02
 Belize,-4.4,91.2,41.0,0.19,1.5,4.01,1.33,4.4,61.5,0.685,19.6,62.6,56.9,4223.0,9895.0,12.3,12.4,12.2,117.4,11.4,62.1,62.1,0.0,0.94,0.46399999999999997,4.4,20.9,7873.0,2.2,28.0,113.0,77.0,16.0,18.5,7073.0,1.5,41.0,28.6,0.6659999999999999,0.7090000000000001,0.693,0.643,20.9,2.0,5.0,237.0,17.0,45.9,81.9,63.9,69.0,72.0,66.3,0.754,0.7090000000000001,52.0,10.3,10.3,10.3,20.2,33.9,142.0,17.9,234.0,21.0,4.4,4.4,4.4,4.4,4.4,1.2,5.8,81.9,20.9,4.4,4.4,4.4,4.4,4.4,4.4,90.7,84.1,4.4,64.9,65.1,62.3,0.2,0.0,0.3,0.0,45.3,28.6,-12.9,76.8,24.0,28.6,4.01,31.0,84.2,1.03,40.5,11.9,2.15,41.0,11.0,20.6,23.6,11.4,67.5,1.33
 Benin,-0.4,115.7,73.0,0.17,0.3,3.06,1.17,4.0,10.2,0.344,47.5,40.6,71.2,1406.0,2059.0,9.1,7.0,10.4,45.8,-0.2,42.7,42.7,31.1,0.789,0.6559999999999999,3.6,17.8,1736.0,13.9,6.0,101.0,85.0,6.0,19.7,1730.0,1.3,73.0,7.2,0.384,0.48700000000000004,0.44,0.431,17.8,16.0,39.0,176.0,1.3,67.3,76.6,71.9,57.4,58.8,55.9,0.575,0.48700000000000004,502.0,2.8,1.8,4.1,17.6,7.5,246.0,78.2,296.0,124.4,0.7,0.7,0.7,0.7,0.7,7.3,6.0,76.6,17.8,0.7,0.7,0.7,0.7,0.7,0.7,62.4,11.2,0.7,16.3,9.5,23.5,4.2,0.3,8.0,1.4,40.5,7.2,-1.5,98.2,47.0,7.2,3.06,59.2,9.2,1.04,55.5,7.2,0.8,73.0,0.9,1.4,90.6,73.6,84.8,1.17
 Bhutan,8.3,70.1,192.0,0.13,0.6,1.6949999999999998,1.05,3.5,21.8,0.335,70.3,24.9,68.5,3397.0,5415.0,9.3,9.3,9.9,102.7,0.8,69.7,69.7,0.0,0.94,0.428,7.1,52.0,4522.0,3.0,1.0,91.0,44.0,5.0,52.1,4457.0,0.4,192.0,1.7,0.672,0.715,0.51,0.574,52.0,3.0,7.0,14.0,3.8,65.4,75.4,70.7,64.9,65.1,64.7,0.691,0.715,308.0,2.3,7.5,7.9,21.4,5.5,256.0,44.9,250.0,57.9,9.4,9.4,9.4,9.4,9.4,11.2,6.2,75.4,52.0,9.4,9.4,9.4,9.4,9.4,9.4,87.8,56.8,9.4,55.2,51.7,55.8,0.4,0.0,0.7,0.1,31.0,1.7,-2.2,52.3,31.0,1.7,1.6949999999999998,91.7,43.7,1.04,28.7,9.3,1.42,192.0,3.1,8.2,68.6,30.4,57.0,1.05
 Bolivia (Plurinational State of),8.3,87.9,158.0,0.28,1.3,3.53,1.02,5.0,71.3,0.631,35.2,44.4,68.8,3296.0,5754.0,14.3,14.0,14.6,67.6,-2.5,54.2,54.2,83.3,0.9159999999999999,0.5579999999999999,4.4,14.3,4695.0,42.8,52.0,115.0,87.0,26.0,13.0,4528.0,0.4,158.0,5.2,0.595,0.65,0.624,0.5760000000000001,14.3,7.0,11.0,524.0,5.2,62.5,82.6,72.5,63.5,65.8,61.4,0.67,0.65,305.0,7.0,6.3,7.7,21.6,26.5,188.0,46.4,252.0,61.1,-2.1,-2.1,-2.1,-2.1,-2.1,7.0,9.3,82.6,14.3,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,83.9,43.0,-2.1,42.7,37.5,48.3,5.3,0.5,9.1,1.2,64.2,5.2,4.1,98.2,22.0,5.2,3.53,23.5,28.9,1.05,42.4,14.7,1.34,158.0,5.1,9.1,35.2,30.1,63.2,1.02
 Bosnia and Herzegovina,8.3,18.9,70.0,0.52,4.3,18.15,1.03,9.1,38.9,0.599,24.6,47.1,34.3,5641.0,11761.0,12.7,13.1,12.4,103.2,5.6,42.7,42.7,88.5,0.922,0.428,4.4,27.2,8312.0,31.4,57.0,101.0,85.0,26.0,27.1,8648.0,0.4,70.0,1.9,0.6679999999999999,0.725,0.7,0.674,27.2,5.0,10.0,217.0,21.3,37.9,60.5,48.9,75.2,77.8,72.5,0.85,0.725,14.0,7.4,6.4,8.5,36.9,42.2,74.0,7.7,146.0,8.8,-0.3,-0.3,-0.3,-0.3,-0.3,4.6,19.6,60.5,27.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,96.7,94.9,-0.3,55.2,51.7,55.8,2.6,0.5,3.8,0.2,44.0,1.9,-5.4,99.9,22.0,1.9,18.15,19.7,99.1,1.07,35.9,12.3,1.19,70.0,29.8,60.3,22.8,0.4,25.7,1.03
 Botswana,33.6,59.8,728.0,0.19,2.2,1.19,1.18,5.3,-5.5,0.606,27.0,55.9,49.8,7951.0,13377.0,11.9,11.9,11.9,88.5,4.2,21.1,21.1,66.8,0.945,0.532,10.7,27.1,11583.0,21.5,16.0,109.0,81.0,9.0,25.3,10629.0,24.6,728.0,15.7,0.5770000000000001,0.611,0.596,0.705,27.1,2.0,7.0,1474.0,3.3,54.4,71.5,62.8,52.2,53.9,50.3,0.495,0.611,276.0,8.3,8.2,8.4,21.5,30.4,450.0,44.2,547.0,69.8,2.4,2.4,2.4,2.4,2.4,0.5,5.3,71.5,27.1,2.4,2.4,2.4,2.4,2.4,2.4,77.8,56.6,2.4,68.9,67.9,70.0,1.1,0.1,1.9,0.2,55.9,15.7,7.1,94.0,26.0,15.7,1.19,30.8,21.4,1.03,46.9,11.1,1.37,728.0,20.7,36.7,17.9,29.8,57.0,1.18
 Brazil,6.9,76.6,50.0,0.15,1.9,0.32,1.23,8.0,76.2,0.593,20.5,58.1,60.8,9770.0,14373.0,13.8,14.1,13.5,27.1,1.7,60.6,60.6,54.3,1.004,0.467,4.5,17.2,12299.0,2298.8,57.0,133.0,101.0,26.0,17.1,12041.0,0.4,50.0,23.4,0.698,0.696,0.7,0.7240000000000001,17.2,1.0,2.0,5358.0,21.0,55.4,79.3,67.0,72.0,75.9,68.3,0.8009999999999999,0.696,67.0,6.3,6.2,6.0,27.0,46.1,111.0,23.1,225.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,8.9,79.3,17.2,0.0,0.0,0.0,0.0,0.0,0.0,95.1,77.8,0.0,42.3,44.6,42.7,124.6,11.0,186.9,16.4,82.8,23.4,-2.0,98.6,21.0,23.4,0.32,46.3,83.5,1.05,43.5,9.1,1.64,50.0,9.3,23.4,29.8,14.3,41.2,1.23
 Brunei Darussalam,22.2,23.8,51.0,0.17,13.7,1.6949999999999998,1.08,2.2,10.4,0.679,1.0,79.8,63.6,58394.0,107403.0,14.3,14.5,14.1,97.5,1.8,73.8,73.8,100.0,0.972,0.428,4.4,11.4,82967.0,30.3,59.0,111.0,97.0,15.0,11.4,83411.0,0.4,51.0,0.5,0.821,0.8440000000000001,0.838,1.0,11.4,1.0,2.0,126.0,36.5,56.6,78.0,67.6,76.3,78.0,74.7,0.866,0.8440000000000001,30.0,8.5,8.1,8.8,26.8,63.8,80.0,9.5,112.0,11.5,1.9,1.9,1.9,1.9,1.9,2.3,4.3,78.0,11.4,1.9,1.9,1.9,1.9,1.9,1.9,91.2,85.19999999999999,1.9,63.3,60.7,65.6,0.3,0.0,0.4,0.0,73.2,0.5,-2.1,99.6,10.0,0.5,1.6949999999999998,0.0,100.0,1.06,41.0,13.9,1.37,51.0,5.9,19.2,4.5,0.2,40.2,1.08
 Bulgaria,2.2,40.9,52.0,0.5,6.3,5.44,0.96,6.9,39.3,0.715,8.9,56.8,45.3,9995.0,15063.0,13.5,13.5,13.5,100.5,13.8,33.6,33.6,73.0,0.975,0.25,4.1,27.9,12420.0,95.1,85.0,103.0,89.0,45.0,25.9,12461.0,0.1,52.0,2.6,0.7390000000000001,0.758,0.75,0.7290000000000001,27.9,3.0,4.0,4837.0,20.0,44.7,56.4,50.4,72.7,76.2,69.2,0.81,0.758,15.0,10.2,9.8,10.4,41.2,81.3,92.0,11.0,220.0,13.3,-2.2,-2.2,-2.2,-2.2,-2.2,2.3,25.1,56.4,27.9,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,99.7,85.9,-2.2,91.3,88.2,93.1,5.3,1.3,7.7,0.3,70.6,2.6,-9.1,99.4,16.0,2.6,5.44,9.9,100.0,1.06,47.2,22.1,0.95,52.0,10.1,22.3,10.3,28.8,19.7,0.96
