,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)","Antenatal care coverage, at least one visit (%)",Birth registration (% under age 5),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)","Child marriage, women married by age 18 (% of women ages 20–24 years who are married or in union)",Coefficient of Human Inequality,Concentration index (exports) (value),"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),Female share of employment in senior and middle management (%),"Female share of graduates in science, mathematics, engineering, manufacturing and construction at tertiary level (%)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Fresh water withdrawals (% of total renewable water resources),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),International student mobility (% of total tertiary enrolment),"Internet users, female (% of female population)","Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,"Literacy rate, adult (% ages 15 and older)","Malaria incidence (per 1,000 people at risk)",Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate attributed to household and ambient air pollution (per 100,000 population)","Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)","Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)",Primary school dropout rate (% of primary school cohort),Primary school teachers trained to teach (%),"Prison population (per 100,000 people)",Private capital flows (% of GDP),Programme for International Student Assessment (PISA) score in mathematics,Programme for International Student Assessment (PISA) score in reading,Programme for International Student Assessment (PISA) score in science,Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Ratio of education and health expenditure to military expenditure,Red List Index (value),Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Research and development expenditure (% of GDP),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Skilled labour force (% of labour force),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)",Survival rate to the last grade of lower secondary general education (%),"Total debt service (% of exports of goods, services and primary income)",Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)","Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","Violence against women ever experienced, intimate partner (% of female population ages 15 and older)","Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth not in school or employment (% ages 15-24),Youth unemployment rate (female to male ratio)
 Afghanistan,-27.6,75.3,58.6,189.0,1.78,1.07,58.6,30.4,0.35600000000000004,,10.3,-0.4,0.41,61.1,32.2,49.1,522.0,3050.0,10.4,7.8,12.2,55.8,,,0.9,2.1,2.1,,,0.614,0.672,3.2,19.4,1809.0,61.0,,107.0,54.0,,19.4,1825.0,0.1,189.0,,0.35200000000000004,0.573,0.493,0.439,30.4,30.4,30.4,19.4,44.8,10.8,35.7,0.226,0.336,0.391,0.428,27.0,38.0,,,,8.3,18.7,86.7,53.9,63.3,64.6,62.0,0.6659999999999999,,22.6,0.573,396.0,3.6,1.6,5.8,17.3,58.4,,,207.0,54.9,249.0,73.2,2.9,2.9,2.9,2.9,2.9,21.9,4.7,86.7,31.9,19.4,2.9,2.9,2.9,2.9,2.9,2.9,63.0,39.2,2.9,22.2,8.8,35.4,17.9,0.8,33.7,5.2,24.8,,,,-0.5,,,,50.5,44.0,13.6,,,1.78,18.4,,64.2,1.06,11.3,27.4,,3.1,10.9,,3.0,1.68,189.0,8.9,18.1,,,,65.8,98.4,84.1,,1.07
 Albania,5.9,20.7,,16.0,11.33,1.01,,13.4,0.22,,6.8,68.0,0.733,41.4,40.0,46.8,9025.0,13102.0,14.8,14.8,14.3,71.8,,,8.7,28.2,28.2,,,0.968,0.256,3.5,24.4,10970.0,31.6,87.0,110.0,96.0,66.0,24.4,11083.0,0.1,16.0,2.3,0.762,0.7879999999999999,0.7759999999999999,0.711,13.4,13.4,13.4,24.4,11.9,18.3,9.9,0.6459999999999999,0.6709999999999999,0.581,0.8059999999999999,1.0,3.0,3784.0,-13.5,-13.5,63.3,47.7,65.2,56.5,78.2,80.3,76.2,0.895,,,0.7879999999999999,29.0,9.7,9.6,10.1,36.2,116.3,,,51.0,12.5,80.0,14.0,-6.4,-6.4,-6.4,-6.4,-6.4,2.9,18.1,65.2,13.5,24.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,91.4,97.7,-6.4,91.7,92.7,92.5,2.0,0.4,2.9,0.2,57.4,11.2,,2.3,-10.2,,,,,19.0,8.8,,2.3,11.33,38.6,,100.0,1.08,37.5,20.7,55.9,2.4,5.3,93.0,27.9,1.01,16.0,17.1,40.1,,,,56.7,1.5,26.0,32.8,1.01
 Algeria,22.7,10.8,,74.0,0.17,1.12,,,0.485,,7.1,40.0,0.662,13.1,39.3,36.8,4085.0,22409.0,14.3,14.6,14.1,59.7,,,-0.2,0.8,0.8,,,0.8590000000000001,0.43700000000000006,,50.7,13725.0,547.2,,116.0,,37.0,42.2,13338.0,0.1,74.0,1.4,0.675,0.787,0.7490000000000001,0.7390000000000001,,,,50.7,,,18.6,,,,0.6990000000000001,1.0,5.0,1710.0,-1.0,-1.0,38.2,15.2,67.4,41.5,75.9,77.1,74.7,0.8590000000000001,,0.0,0.787,140.0,7.9,7.5,8.5,27.5,108.4,,,84.0,21.9,107.0,25.5,-0.8,-0.8,-0.8,-0.8,-0.8,0.1,9.0,67.4,,50.7,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,93.5,87.5,-0.8,34.9,34.1,35.7,26.1,2.3,39.9,4.7,70.8,6.4,100.0,1.4,0.3,100.0,100.0,100.0,,24.0,,,1.4,0.17,0.1,,98.7,1.05,17.8,25.7,,1.3,5.0,75.0,1.7,1.67,74.0,11.2,29.9,,,,27.8,9.7,43.8,21.2,1.12
 Andorra,,,,5.9,,,,,0.182,,12.0,,0.715,,,,,,13.5,,,,,,,34.0,34.0,,,,,3.3,,,,,,,,,45260.0,,5.9,,,,0.8540000000000001,0.924,,,,,,,,,,,,1.0,4.0,2663.0,-218.6,-218.6,96.9,,,,81.4,,,0.945,100.0,,,,10.2,10.1,10.2,,91.4,,,,2.5,,2.8,,,,,,,,,,,,,,,,,100.0,100.0,,72.8,72.0,73.7,,,0.1,,88.3,,100.0,,,100.0,100.0,100.0,,10.0,,,,,19.7,,100.0,,,39.3,,,,93.0,,,5.9,,,,,,,,,,
 Angola,-39.6,158.8,,370.0,0.01,0.99,,36.6,0.924,,2.9,31.0,0.47200000000000003,48.9,42.2,72.1,5458.0,7075.0,11.0,8.7,14.0,70.3,,,9.0,46.4,46.4,,,,,,9.6,6228.0,173.5,,,,9.0,9.6,6251.0,1.9,370.0,,,,0.5720000000000001,0.625,36.6,36.6,36.6,9.6,34.6,28.9,46.2,0.309,0.36,0.444,0.341,35.0,49.0,592.0,,,12.4,75.4,80.3,77.8,61.2,64.1,58.4,0.634,,123.3,,477.0,5.0,,,16.4,49.8,,,206.0,56.9,280.0,86.5,0.7,0.7,0.7,0.7,0.7,0.4,4.6,80.3,37.0,9.6,0.7,0.7,0.7,0.7,0.7,0.7,41.0,39.4,0.7,,,,14.1,0.6,27.9,5.2,63.4,,,,-9.5,,,,,,,,,0.01,49.6,,7.0,1.03,43.0,36.8,,14.3,38.1,,15.6,1.1,370.0,7.3,16.9,,,,67.2,58.3,93.0,,0.99
 Antigua and Barbuda,,46.4,,5.0,2.12,,,,0.56,,4.8,64.7,0.6759999999999999,,,,,,13.3,13.8,12.5,93.2,,,7.1,22.3,22.3,,,,,,,20155.0,2.0,86.0,88.0,94.0,,,19557.0,,5.0,,,,0.775,0.797,,,,,,,8.4,,,,0.792,1.0,9.0,250.0,,,70.0,,,,76.2,78.6,73.7,0.865,,,,,9.2,,,30.7,176.1,,,107.0,5.3,153.0,8.7,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,9.6,,,,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,96.7,87.5,-0.1,,,,0.1,0.0,0.1,0.0,25.0,,65.0,,-4.5,65.0,65.0,65.0,,14.0,,,,2.12,0.0,,95.8,1.03,,25.7,,0.0,0.0,,,,5.0,,,,,,,,35.7,,
 Argentina,7.2,63.4,,25.0,0.08,1.18,,15.2,0.196,,6.8,40.4,0.812,0.5,75.7,55.9,12338.0,24802.0,17.4,18.4,16.1,22.5,,,2.0,9.9,9.9,,,0.9990000000000001,,5.9,17.1,19117.0,830.0,74.0,110.0,107.0,86.0,15.6,18437.0,0.4,25.0,6.5,0.8140000000000001,0.815,0.8220000000000001,0.7879999999999999,15.2,15.2,15.2,17.1,8.1,27.4,10.0,0.747,0.6940000000000001,0.5720000000000001,0.7809999999999999,6.0,11.0,5736.0,,,68.0,47.5,73.4,60.0,76.4,80.2,72.6,0.868,98.1,0.0,0.815,52.0,9.8,10.1,9.6,30.8,142.4,,,75.0,10.3,152.0,11.6,0.1,0.1,0.1,0.1,0.1,-0.0,17.1,73.4,15.6,17.1,0.1,0.1,0.1,0.1,0.1,0.1,99.6,94.8,0.1,62.4,63.5,61.4,27.7,4.7,43.4,3.7,91.5,,,6.5,-1.9,,,,99.6,,14.9,,6.5,0.08,10.0,,100.0,1.04,40.4,,,4.8,23.7,,24.6,1.42,25.0,6.9,19.5,,,,21.4,2.6,39.4,,1.18
 Armenia,2.2,25.2,,47.0,14.13,1.14,,9.2,0.256,,10.1,48.3,0.746,35.3,48.8,48.9,5932.0,11432.0,13.0,13.4,12.6,71.6,,,1.7,11.7,11.7,,42.1,0.9740000000000001,0.302,2.8,20.7,8196.0,23.9,52.0,95.0,86.0,47.0,20.6,8517.0,0.2,47.0,2.6,0.7340000000000001,0.753,0.748,0.6709999999999999,9.2,9.2,9.2,20.7,3.7,13.9,10.1,0.718,0.679,0.578,0.753,3.0,3.0,1192.0,-3.1,-3.1,64.3,51.2,70.2,59.8,74.4,77.5,71.1,0.838,,,0.753,25.0,11.6,11.6,11.3,33.9,118.8,42.1,42.1,75.0,12.5,176.0,14.0,-2.1,-2.1,-2.1,-2.1,-2.1,3.2,15.8,70.2,9.3,20.7,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,98.9,91.6,-2.1,98.3,98.5,98.1,2.0,0.3,2.9,0.2,63.1,5.3,,2.6,-3.8,,,,,,3.1,42.1,2.6,14.13,15.8,0.3,100.0,1.14,42.8,10.7,94.8,1.8,8.0,,38.7,1.11,47.0,18.3,31.9,,,,41.9,8.9,28.7,35.6,1.14
 Australia,7.4,13.9,,6.1,0.16,0.92,,8.0,0.228,,9.4,176.0,0.9259999999999999,2.6,77.9,61.1,34747.0,51584.0,23.3,20.9,20.0,41.5,33.2,33.2,2.8,16.2,16.2,93.4,3.4,0.975,0.11800000000000001,,26.1,43923.0,1047.6,125.0,102.0,158.0,120.0,26.1,43138.0,0.1,6.1,1.0,0.9229999999999999,0.946,0.9359999999999999,0.9159999999999999,8.0,8.0,8.0,26.1,1.9,17.7,4.3,0.909,0.8590000000000001,0.754,0.924,3.0,5.0,7444.0,14.8,14.8,84.6,59.1,71.2,65.1,82.7,84.7,80.7,0.965,,,0.946,6.0,12.8,12.9,12.7,37.4,108.3,3.4,3.4,,3.2,,3.8,8.0,8.0,8.0,8.0,8.0,,22.6,71.2,8.2,26.1,8.0,8.0,8.0,8.0,8.0,8.0,100.0,100.0,8.0,91.5,91.4,91.5,15.8,3.6,23.8,1.5,85.7,,,1.0,-6.3,,,,99.7,,,3.4,1.0,0.16,9.2,,100.0,1.06,46.2,30.5,,5.6,15.3,,,1.0,6.1,6.1,13.1,,,,10.8,,28.5,9.8,0.92
 Austria,12.2,7.7,,7.5,0.74,0.95,,8.5,0.062,,10.3,123.4,0.847,4.5,69.7,56.7,34369.0,54009.0,15.9,16.3,15.6,102.1,27.9,27.9,-2.2,46.9,46.9,66.0,,0.972,0.083,,23.6,44305.0,382.9,102.0,102.0,100.0,81.0,22.5,43984.0,,7.5,0.5,0.89,0.915,0.903,0.919,8.5,8.5,8.5,23.6,4.3,17.5,3.7,0.8109999999999999,0.8240000000000001,0.758,0.91,3.0,4.0,26728.0,11.8,11.8,83.9,54.5,66.0,60.1,81.4,83.8,78.9,0.945,,,0.915,4.0,12.1,11.8,12.6,43.2,155.2,,,,3.0,,3.6,6.3,6.3,6.3,6.3,6.3,,28.1,66.0,8.7,23.6,6.3,6.3,6.3,6.3,6.3,6.3,100.0,100.0,6.3,98.9,98.7,99.2,5.8,1.6,8.7,0.4,57.7,0.4,,0.5,5.8,,,,98.5,11.0,,,0.5,0.74,34.4,3.1,100.0,1.06,47.0,30.3,85.9,5.3,18.5,100.0,,0.87,7.5,5.7,10.6,,,,8.5,,21.1,7.5,0.95
